Afrikaans		DutchEnglish
aand		avondevening
aartappelskyfies		(aardappel)chipspotato chips (US) crisps (UK)
afkappingsteken, apostroof		weglatingsteken, afkappingsteken, apostrofapostrophe
afleweringswa, bestelwa, paneelwa		bestelbus (Netherlands) bestelwagen (Belgium)delivery van, panel van
amper		bijna amper means "just" [105]nearly, almost
amptelik		officieel ambtelijk means "ex officio"official
as		alsif
asem		adem asem also used in Belgiumbreath
asseblief		alsjeblieft, alstublieftplease
baadjie, jas		jasje, vestjacket
baba		baby, kindjebaby
babalaas, babelas		katerhangover
baie		heel, zeer, veelvery, much
bakkie		pick-uppick-up truck
beeldpoetser		media-adviseurmedia spokesperson press officer
bergie, boemelaar		zwervervagrant
bestuurslisensie		rijbewijsdriving licence (UK) driver's license (US)
blokkiesraaisel		kruiswoordraadselcrossword puzzle
bobbejaan		baviaanbaboon
bokkie		schatje, liefjebaby, darling
bolla		zoet broodjebun
botsing		botsing, aanrijdingcollision
braai		barbecuebarbecue
Brittanje		Groot-BrittanniëBritain, Great Britain
bromponie		bromfiets, scootermoped, scooter
daardie, daai		diethat, those
dagga		marihuanamarijuana, cannabis
dankie		dank je/u, bedanktthank you, thanks
deur		doorthrough, door
deurmekaar		door elkaar door mekaar dialectalmixed up, confused
die		de, hetthe
duikweg		tunneltunnel, underpass
dwelms		drugs bedwelmen means "intoxicate"drugs
e-pos		e-mail e-post purismemail
eiendoms beperk(Edms.) Bpk.		besloten vennootschap (BV)propriety limited (Pty.) Ltd.
eksie-perfeksie		fantastischcool, great
ekskuus		excuus similar pronunciationsorry, apology
enigiets		nog ietsanything
enigiemand		iedereenanyone
enjin		motorengine
gatvol		zat zijnfed up
geskenk		geschenk, cadeaugift, present
glo		gelovenbelieve
gogga		insectinsect, bug
grasperk		gazonlawn
grondboontjie		pinda  aardnoot, apennoot, grondnoot and olienoot are also sometimes usedpeanut
grondboontjiebotter		pindakaaspeanut butter
gunsteling		favoriet gunsteling older termfavourite
