File format;OpenXPS;PDF
Based on a format developed by;Microsoft;Adobe Systems
Standardized by;Ecma International;ISO
First public release date;2006;1993
Latest stable version;Ecma International Standard ECMA-388 — Open XML Paper Specification — 1st Edition;ISO 32000-1:2008 — Document management — Portable document format — Part 1: PDF 1.7
Latest standardised version;Ecma International Standard ECMA-388 — Open XML Paper Specification — 1st Edition;ISO 32000-2:2017 — Document management — Portable document format — Part 2: PDF 2.0
Language type;Markup language (XML);PDF is a database of objects that may be created from PostScript or generated directly by an application.
XML schema representation;XML Schema (W3C) (XSD) and RELAX NG (ISO/IEC 19757-2);N/A
Compression format;ZIP;LZW for both text and images, JPEG, JPEG 2000, and RLE for images only
Container structure;Open Packaging Conventions (ISO/IEC 29500-2:2008);
3D graphic content;X3D (ISO/IEC 19775/19776);U3D (Standard ECMA-363), PRC (Product Representation Compact, ISO 14739-1:2014)
Full file content compression;Yes;Compression of collections of objects
Fast page by page download from web servers;Yes;Yes
Multiple documents in one file;Yes;Yes
Document bookmarks and outline;Yes;Yes
Reflowable;No;With Tagged PDF
Hyperlinks;Yes;Yes
Page thumbnails;Yes;Yes
Annotations;Yes;Yes
Image transparencies;Yes;Yes
Gradient fills;Yes;Yes
Alpha channel in color definitions;Yes;Yes
Support for multiple transparency blending modes;?;Yes
Change tracking;No;No
Password protection;Yes;Yes
Digital signatures;Yes;Yes
JPEG (RGB and CMYK) (ISO/IEC 10918-1);Yes;Yes
JPEG 2000 (ISO/IEC 15444-1);No;Yes
JBIG2 for bi-level images;No;Yes
PNG;Yes;Yes
TIFF (RGB and CMYK);Yes;No
HD Photo / JPEG XR (ISO/IEC 29199-2:2009);Yes;No
Gray support;Yes;Yes
RGB support;Yes;Yes
CMYK support;Yes;Yes
Spot color support;Yes;Yes
Filename extensions;oxps;pdf
Internet media types;application/oxps;application/pdf
Standard licensing;Ecma copyrighted free download;PDF 1.7: ISO copyrighted free download PDF 2.0: ISO copyrighted, requires purchase
File format;OpenXPS;PDF
