Mail Server;DNSBL;SURBL;Spamtraps;Greylisting;SPF;DKIM;DMARC;Tarpit;Bayesian filters;Regular expressions;Embedded Antivirus;Embedded Antispam
agorum core;No;No;No;No;No;No;No;No;No;Yes;No;No
Apache James;?;?;?;?;?;?;?;?;Yes;?;Yes ClamAV;Optional (Apache SpamAssassin)
Axigen;Yes;Yes;Yes;Yes;Yes;Yes;?;No;Yes, in SpamAssassin;Yes;Yes CYREN;Yes CYREN
Citadel;Yes;Yes;No;No;Optional (via SpamAssassin);?;?;No;Optional (via SpamAssassin);No;Optional (ClamAV);Optional (SpamAssassin)
Courier Mail Server;Yes;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes Clamav;Yes
Dovecot;?;?;?;?;?;?;?;?;?;?;?;?
Eudora Internet Mail Server;Yes;?;Yes;Yes;?;?;?;?;?;?;?;?
Exim;Yes;Yes;Yes;Yes;Optional at build time;Yes;Optional at build time;Yes;Optional with spamassassin etc.;Yes;Optional any;Optional any
FirstClass;Yes;Yes;No;?;Yes;?;?;Yes;Yes;Yes;Yes Symantec;?
Gordano Messaging Suite;Yes;Yes;Yes;Yes;Yes;?;?;Yes;Yes;Yes;Yes CYREN, Authentium;Yes CYREN
GroupWise;Yes;?;?;?;?;?;?;?;?;?;?;?
Halon;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Optional (via SpamAssassin);Yes;Optional (Sophos, ClamAV);Optional (CYREN, SpamAssassin)
Haraka;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;Optional with spamassassin etc.;Yes;Optional ClamAV, AVG, any via plugins;Optional SpamAssassin, MessageSniffer
hMailServer;Yes;Yes;No;Yes;Yes;Yes;?;No;No;Yes;Yes ClamAV;Yes SpamAssassin
IBM Notes;Yes;?;?;?;No;?;?;?;?;?;?;?
IceWarp Mail Server;Yes;Yes;Yes;Yes;Yes;?;?;Yes;Yes;Yes;Yes;Yes
Ipswitch IMail Server;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes Symantec, BitDefender;Yes CYREN
Kolab;Yes;?;?;Yes;Yes;?;?;?;Optional with spamassassin etc.;Yes;Optional (via content filter interface);Optional (via content filter interface)
Mailsite;Yes;Yes;Yes;Yes;Yes;?;?;No;Yes;Yes;Yes;Yes
Mailtraq;?;?;?;?;?;?;?;?;?;?;?;?
MDaemon;Yes;Yes (via SpamAssassin);Yes;Yes;Yes;Yes;Yes;Yes;Yes (via SpamAssassin);Yes (via Content Filter);Optional Cyren, ClamAV;Yes SpamAssassin
Mercury Mail Transport System;Yes;?;?;Yes (GreyWall extension);?;?;?;?;Yes (SpamHalter extension);?;Yes (ClamWall extension);?
Microsoft Exchange Server;Yes (2003 & later);?;?;Yes;Yes;Optional (Signing only via 3rd Party Extensions);?;Yes (2003 & later);?;?;?;?
NetMail;?;?;?;?;?;?;?;?;?;?;?;?
OpenSMTPD;?;?;?;?;Yes;Yes;?;?;?;?;?;?
Oracle Communications Messaging Server;Yes;Yes;Yes;Yes;Yes;?;?;Yes;Optional with spamassassin etc.;Yes;Optional any;Optional any
Postfix;Yes;?;?;Yes;Yes;Optional;Optional;?;Optional with spamassassin etc.;Yes;Optional (via content filter interface);Optional (via content filter interface)
qmail;?;?;?;Yes;?;?;?;?;No;?;No;No
Scalix;Yes;Yes (via Scalix AntiSpam powered by Cyren or SpamAssassin);Yes (via Scalix AntiSpam powered by Cyren or SpamAssassin);Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes (via Scalix ZeroHour AntiVirus powered by Cyren or ClamAV);Yes
Sendmail;Yes;Yes (via milter/SA);?;Yes;Optional;Optional;Optional;?;Optional with spamassassin etc.;?;Yes ClamAV;Yes SpamAssassin
SparkEngine;?;?;?;?;?;?;?;?;?;?;?;?
UW IMAP;?;?;?;?;?;?;?;?;?;?;?;?
WinGate;?;?;?;?;?;?;?;?;?;?;?;?
Zarafa;External;External;External;External;External;External;External;External;External;External;External;External
Zimbra;Yes;Yes (via SpamAssassin);?;Yes (via Cluebringer Policy Daemon);Yes;Yes;?;Yes;Yes;Yes (partially);Yes (via ClamAV, optionally any via Amavisd);Yes (via SpamAssassin)
Mail Server;DNSBL;SURBL;Spamtraps;Greylisting;SPF;DKIM;DMARC;Tarpit;Bayesian filters;Regular expressions;Embedded Antivirus;Embedded Antispam
