Data types;Java;C#
Arbitrary-size decimals;Reference type, no operators;Third party library
Arbitrary-size integers;Reference type, no operators;Yes
Arrays;Yes;Yes
Boolean type;Yes;Yes
Character;Yes;Yes
Complex numbers;Third-party library;Yes
Date/time;Yes, reference type;Yes, value type
Enumerated types;Yes, reference type;Yes, scalar
High-precision decimal number;No, but see 'Arbitrary-size decimals' above;128-bit (28 digits) Decimal type
IEEE 754 binary32 floating point number;Yes;Yes
IEEE 754 binary64 floating point number;Yes;Yes
Lifted (nullable) types;No, but wrapper types;Yes
Pointers;No, only method references;Yes
Reference types;Yes;Yes
Signed integers;Yes, 8, 16, 32, 64 bits;Yes, 8, 16, 32, 64 bits
Strings;Immutable reference type, Unicode;Immutable reference type, Unicode
Type annotations;Yes;Yes
Single-root (unified) type system;No, but wrapper types;Yes
Tuples;No, limited 3rd party available.;Yes
Unsigned integers;No, but some method support.;Yes, 8, 16, 32, 64 bits
Value types;No, only primitive types;Yes
