File archivers;ZIP;TAR;Gzip/Deflate ZIPx;Bzip2/BZ2 ZIPx;7z;XZ ZIPx;RAR;LHA/LZH;ACE;StuffIt;StuffIt X;ARJ;KGB;DAR;ARC;CAB;ALZ;ISO/CD Image;ZPAQ;Special
7-Zip;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;
ALZip;Yes;Yes;Yes;Yes;No;Unknown;No;No;No;No;No;No;No;No;No;Yes;Yes;Unknown;No;
Archive Manager;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;No;No;
Archive Utility;Yes;No;No;No;No;Unknown;No;No;No;No;No;No;No;No;No;No;No;No;No;
Ark;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;
B1 Free Archiver;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
BetterZip;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;
bsdtar/libarchive;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;
Commander One;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
CRAX Commander;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;
Disk ARchiver;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;
Filzip;Yes;Yes;Yes;No;No;Unknown;No;Yes;No;No;No;No;No;Unknown;Unknown;Unknown;Unknown;Unknown;No;
FreeArc;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;
GNU tar;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;
iArchiver;Yes;Yes;Yes;Yes;Yes;Unknown;No;No;No;No;No;No;No;No;No;No;No;No;No;
Info-ZIP;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
KGB Archiver;Yes;No;No;No;No;Unknown;No;No;No;No;No;No;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;No;
PeaZip;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;
PKZIP;Yes;Yes;Yes;Yes;No;Unknown;No;No;No;No;No;No;No;Unknown;Unknown;Unknown;Unknown;Unknown;No;
PowerArchiver 2018;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;Yes;.bh (BlakHole) by ZipTV
Star;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;
StuffIt;Yes;Yes;Yes;Yes;No;Unknown;No;Yes;No;Yes;Yes;No;No;Unknown;Unknown;Unknown;Unknown;Unknown;No;
TUGZip;Yes;Yes;Yes;Yes;Yes;Unknown;No;Yes;No;No;No;No;No;No;No;Yes;No;Unknown;No;
WinAce;Yes;Yes;Yes;Yes;No;Unknown;No;Yes;Yes;No;No;No;No;Unknown;Unknown;Yes;Unknown;Yes;No;
WinRAR;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;
WinZip;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ZIPx
Xarchiver;Yes;Yes;Yes;Yes;Yes;Unknown;No;Yes;No;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;No;
ZipGenius;Yes;Yes;Yes;Yes;Yes;Unknown;No;Yes;No;No;No;No;No;No;Unknown;Yes;No;No;No;
;ZIP;TAR;Gzip/Deflate ZIPx;Bzip2/BZ2 ZIPx;7z;XZ ZIPx;RAR;LHA/LZH;ACE;SIT;SITX;ARJ;KGB;DAR;ARC;CAB;ALZ;ISO/CD Image;ZPAQ;Special
