Linux Mint;Free, and nonfree;;?;APT;.deb;Ubiquity;Yes;?;?
Mageia;Free, and nonfree;17,283 (i586), 11,409 (x86-64);8,834;urpmi, rpmdrake;RPM;DrakX;Yes;Yes;?
Mandriva Linux;Free, and nonfree;22,600;?;urpmi, rpmdrake;RPM;DrakX;Yes;?;?
Manjaro Linux;Free, and nonfree;?;;Pacman;.pkg.tar.xz;Calamares;Yes;Yes;iPXE
MEPIS;Free, and nonfree;;?;APT;.deb;MEPIS Install;Yes;?;?
Musix GNU+Linux;Free only;1,819;?;APT;.deb;Debian-Installer;Yes;No;No
OpenELEC;Free, and nonfree;140;?;XBMCbuntu addon manager, own and 3rd party addons;.zip;;Yes;?;?
openSUSE;Free, and nonfree;42,236 with PackMan;34,000;YaST, Zypper;RPM;YaST;Yes;Yes;?
OpenWrt;Free, and nonfree;2,000;?;opkg;.ipk;-;No;?;?
Parabola GNU/Linux-libre;Free only;23,000;?;Pacman;.pkg.tar.xz;None (third-party install scripts only) or Calamares;Yes;Yes;?
Pardus;Free, and nonfree;4,000;?;PiSi;.pisi;YALI;Yes;?;?
Parsix;Free, and nonfree;;14,900;APT;.deb;;Yes;?;?
PCLinuxOS;Free, and nonfree;12,000;?;APT, RPM;RPM;;Yes;?;?
Puppy;Free, and nonfree;700;?;PupGet, DotPup;.pup, .pet;;Yes;?;?
Red Hat Enterprise Linux;Free, and nonfree;3,000 (plus 9,155 from EPEL);?;RPM, yum;RPM;Anaconda;Yes;?;?
Rxart;Free, and nonfree;;?;APT;.deb;;Yes;?;?
Sabayon Linux;Free, and nonfree;;?;Portage, Entropy;ebuild, .tbz2;Calamares;Yes;?;?
Scientific;Free, and nonfree;;?;APT/yum;RPM;;Yes;?;?
Slackware;Free, and nonfree;2,292;7,705 from SlackBuilds;slackpkg;tgz, .txz, .tlz, .tbz;bash script;No;Yes;Yes
Slax;Free, and nonfree;2,050;?;none;.lzm;;;?;?
SliTaz GNU/Linux;Free, and nonfree;3,381;?;Tazpkg;.tazpkg;tazinst;Yes;iPXE;iPXE
Solus;Free, and nonfree;9,500;?;eopkg;.eopkg;os-installer;Yes;No;No
Source Mage GNU/Linux;Free, and nonfree;118;8,876;Sorcery Package Manager;src;;Yes;?;?
SUSE Linux;Free, and nonfree;24,094;11,385;YaST, Zypper;RPM;YaST;Yes;?;?
Tiny Core Linux;Free, and nonfree;25,160;?;ab, tce-load;tcz;tc-install, core2usb;Yes;?;?
Tiny SliTaz;Free, and nonfree;50;?;Web site;tazpkg;;No;?;iPXE
Trisquel;Free only;52,748;?;APT;.deb;Ubiquity;Yes;Yes;?
TurnKey GNU/Linux;Free, and nonfree;(plus ≈30 custom packages);21,041 (currently TurnKey only supplies source code for custom packages);APT;.deb;DI-Live (custom fork of Debian Installer);No;No;No
Ubuntu, Kubuntu, Xubuntu;Free, and nonfree;;24,474;APT;.deb;Ubiquity;Yes;Yes;PXE
Ututo;Free only;5,000;?;UTUTO Package Manager;ebuild;?;?;No;No
Vector Linux;Free, and nonfree;?;?;slapt-get, gslapt, installpkg;tgz;;Yes;?;?
Void Linux;Free, nonfree and multilib;6,000;6,719;xbps;.xbps;ncurses script;Yes;Yes;No
XBMC Live;Free, and nonfree;?;?;APT;.deb;;No;?;?
Zentyal;Free, and nonfree;;?;APT;.deb;dpkg;Yes;?;?
Zenwalk;Free, and nonfree;2,000;?;netpkg, installpkg, upgradepkg;tgz, txz;;Yes;?;?
Distribution;Free software repositories;Approximate number of pre-compiled packages;Approximate number of source packages;Default package management tools;Package format;Default installer;Graphical installation process;Netinstall;Netboot
