Server name;License;Programming language;RFC 2616 HTTP/1.1;RFC 2617 HTTP auth.;RFC 2518 WebDAV;RFC 3253 WebDAV vers.;RFC 3744 WebDAV ACL;RFC 4324 iCal CAP;RFC 4331 WebDAV quota;RFC 4709 WebDAV mount;RFC 4791 CalDAV;RFC 4918 WebDAV ext.;RFC 5397 WebDAV current principal;RFC 5545 rev. iCal (Availability Check);RFC 5546 iCal iTIP(Group Scheduling);RFC 5689 WebDAV ext. MKCOL;RFC 5995 WebDAV POST add member;RFC 6352 CardDAV vCard;RFC 6578 WebDAV sync;RFC 6638 CalDAV sched.(Auto-Schedule);RFC 7529 iCal RSCALE;RFC 7540 HTTP/2;RFC 7809 CalDAV time zones by ref.;RFC 7953 iCal VAVAILABILITY;Free-busy URL
Baïkal;GNU GPL;PHP;Yes;Yes;Yes;No;Some;No;Unknown;No;Yes;Yes;Yes;Yes;Unknown;Yes;Unknown;Yes;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown
Bedework;Apache;Java;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Yes;Yes;Unknown;Unknown;Yes;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown
Calendar and Contacts Server;Apache;Python;Yes;Yes;Yes;Yes;Yes;No;Unknown;No;Yes;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown
Calypso;GNU GPL;Python;Yes;Yes;Yes;No;Unknown;No;Unknown;No;Yes;Yes;No;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
Cyrus IMAP;BSD;C;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
DAViCal;GNU GPL;PHP;Yes;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;Unknown;Yes;Yes
DavMail;GNU GPL;Java;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
Fennel;GNU GPLv3;JavaScript;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
Group-Office;AGPL, proprietary;PHP;Yes;Yes;Yes;Unknown;Some;Unknown;Unknown;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;Unknown;Yes;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown
Horde Groupware;GNU LGPL;PHP;Yes;Yes;Yes;No;Some;No;No;Unknown;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;No;No;No
Nextcloud;AGPL v3;PHP;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown
Open Xchange;GNU GPL, CC;Java, JavaScript;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
ownCloud;AGPL v3;PHP;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown
Radicale;GNU GPL;Python;Yes;Yes;Some;No;Some;No;Unknown;No;Some;Some;Some;No;Some;No;Unknown;Some;Unknown;No;Unknown;Unknown;Unknown;Unknown;Unknown
SabreDAV;BSD;PHP;Yes;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;Unknown;Yes;Unknown;Yes;Unknown;Unknown;Unknown
SOGo;GNU GPL;Objective-C;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
Xandikos;GNU GPL;Python;Yes;Yes;Yes;Some;Some;No;No;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Unknown;Yes;No;No;Unknown
Zarafa;AGPL, proprietary;PHP;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Read only;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown
Zentyal;GNU GPL;Perl;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
Zimbra;GNU GPL;Java;Yes;Yes;Yes;Yes;Yes;No;Unknown;No;Yes;Unknown;Yes;Yes;Yes;Yes;Unknown;Yes;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown
