Site;Specialization;Is a tracker;Directory;Public;RSS;One-click download;Sortable;Comments;Multi-tracker index;Ignores DMCA;Tor friendly
1337x;None;No;Yes;Yes;No;No;Yes;Yes;Yes;No;No
apollo.rip;Music;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No
Demonoid;None;Yes;Yes;Yes;No;Yes;Yes;Yes;?;?;Yes
etree;Live concerts;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;?;?
ETTV;None;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No
EZTV;TV Series;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes
HDBits;Movies;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No
IPTorrents;None;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No
Kickass Torrent;None;No;Yes;Yes;No;Yes;No;No;No;No;No
Limetorrents;None;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No
MkvCage;Movies;No;Yes;Yes;Yes;No;Yes;Yes;No;Yes;No
NyaaV2;CJK content, especially otaku and anime;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No
The Pirate Bay;None;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes
Rarbg;None;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No
redacted.ch;Music;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No
RevolutionTT;None;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No
Rutracker [ru];None;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes
Torlock;None;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;?
Torrent downloads;None;No;Yes;Yes;No;No;No;Yes;No;No;No
torrentleech.org;None;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No
Torrentseeker;Search;No;No;Yes;No;No;Yes;No;No;No;No
Torrents.me;Search;No;Yes;Yes;No;No;Yes;Yes;No;No;No
Worldwidetorrents.me;None;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No
YourBittorrent;None;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No
YTS;Movies;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes
Zooqle;Search;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No
Site;Specialization;Is a tracker;Directory;Public;RSS;One-click download;Sortable;Comments;Multi-tracker index;Ignores DMCA;Tor friendly
