Vehicle;Origin;Manufacturer;Mass to ... (kg);Mass to ... (kg);Mass to ... (kg);Launches (+ suborbital);Date of flight;Date of flight
Vehicle;Origin;Manufacturer;LEO;GTO;Other;Launches (+ suborbital);First;Last
Antares 110–130;United States;Orbital;5,100;;1,500 to SSO;5;2013;2014
Ariane 1;Europe;Aérospatiale;1,400;1,830;;11;1979;1986
Ariane 2;Europe;Aérospatiale;;2,270;;6;1986;1989
Ariane 3;Europe;Aérospatiale;;2,650;;11;1984;1989
Ariane 4 40;Europe;Aérospatiale;4,600;2,105;2,740 to SSO;7;1990;1999
Ariane 4 42L;Europe;Aérospatiale;7,000;3,480;4,500 to SSO;13;1993;2002
Ariane 4 42P;Europe;Aérospatiale;6,000;2,930;3,400 to SSO;15;1990;2002
Ariane 4 44L;Europe;Aérospatiale;7,000;4,720;6,000 to SSO;40;1989;2003
Ariane 4 44LP;Europe;Aérospatiale;7,000;4,220;5,000 to SSO;26;1988;2001
Ariane 4 44P;Europe;Aérospatiale;6,500;3,465;4,100 to SSO;15;1991;2001
Ariane 5 G;Europe;EADS Astrium;18,000;6,900;;16;1996;2003
Ariane 5 G+;Europe;EADS Astrium;;7,100;;3;2004;2004
Ariane 5 GS;Europe;EADS Astrium;16,000;6,600;;6;2005;2009
Ariane 5 ES;Europe;EADS Astrium;21,000;8,000;;8;2008;2018
ASLV;India;ISRO;150;;;4;1987;1994
Athena I;United States;Lockheed Martin;795;515;;4;1995;2001
Athena II;United States;Lockheed Martin;1,800;;;3;1998;1999
Atlas-Centaur;United States;Lockheed;1,134;2,222;;148;1962;1983
Atlas G;United States;Lockheed;5,900;2,222;1,179 to HCO;7;1984;1989
Atlas H/MSD;United States;Lockheed;3,630;;;5;1983;1987
Atlas I;United States;Lockheed Martin;5,900;2,340;;11;1990;1997
Atlas II;United States;Lockheed Martin;6,780;2,810;2,000 to HCO;10;1991;1998
Atlas IIA;United States;Lockheed Martin;7,316;3,180;2,160 to HCO;23;1992;2002
Atlas IIAS;United States;Lockheed Martin;8,618;3,833;2,680 to HCO;30;1993;2004
Atlas IIIA;United States;Lockheed Martin;8,686;4,060;2,970 to HCO;2;2000;2004
Atlas IIIB/DEC;United States;Lockheed Martin;10,759;4,609;;1;2002;2002
Atlas IIIB/SEC;United States;Lockheed Martin;10,218;4,193;;3;2003;2005
Black Arrow;United Kingdom;RAE;73;;;2 (+2);1969;1971
Commercial Titan III;United States;Martin Marietta;13,100;;;4;1990;1992
Delta 0300;United States;McDonnell Douglas;;340;747 to SSO;3;1972;1973
Delta 0900;United States;McDonnell Douglas;1,300;;818 to SSO;2;1972;1972
Delta 1410;United States;McDonnell Douglas;340;;;1;1975;1975
