Client;CTCP;DCC;IPv6;SSL;TLS;DANE;OCSP;CRL;SASL;OTR
Bersirc;?;Partial;No;No;?;?;?;?;?;No
BitchX;Yes;Yes;Yes;Yes;Yes;?;?;?;?;No
ChatZilla;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;script;No
Colloquy;Yes;Yes;Yes;Yes;?;?;?;?;Yes;No
degesch;Yes;Yes;Yes;No;Yes;?;?;?;?;No
DMDirc;Yes;Yes;Yes;Yes;?;?;?;?;?;No
ERC;Yes;Yes;Yes;Yes;Yes;?;?;?;Yes;No
HexChat;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes
HydraIRC;Yes;Yes;?;No;No;?;No;No;?;No
IceChat;Yes;Yes;Yes;Yes;Yes;?;?;?;Yes;No
IRCCloud;Yes;No;Yes;Yes;Yes;No;No;No;Yes;No
ircII;Yes;Yes;Yes;Yes;?;?;?;?;?;No
IRCjr;Yes;No;No;No;No;?;No;No;No;No
Ircle;Yes;Yes;?;Yes;?;?;?;?;?;No
Irssi;Yes;Yes;Yes;Yes;Yes;Yes;No;?;Yes;Yes
jIRCii;Yes;Yes;Yes;Yes;?;?;?;?;?;No
KiwiIRC;Yes;No;Yes;Yes;Yes;?;No;No;Yes;No
Konversation;Yes;Yes;Yes;Yes;Yes;?;?;?;Yes;No
KVIrc;Yes;Yes;Yes;Yes;Yes;?;No;No;Yes;No
LimeChat;?;Yes;Yes;Yes;?;?;?;?;Yes;No
Linkinus;Yes;Yes;No;Yes;?;?;?;?;No;No
Mibbit;?;Partial;No;Yes;?;?;?;?;Yes;No
mIRC;Yes;Yes;Yes;Yes;Yes;?;?;?;Yes;No
Nettalk;Yes;Yes;No;No;?;?;?;?;?;No
Opera;Yes;Yes;Yes;Yes;Yes;?;?;?;?;No
PIRCH;Yes;Yes;No;No;?;?;?;?;?;No
PJIRC;?;Yes;No;No;?;?;?;?;?;No
Quassel;Yes;No;Yes;Yes;Yes;?;No;No;Yes;No
qwebirc;Yes;No;No;Yes;No;?;No;No;No;No
rcirc;Partial;No;No;Yes;Yes;?;?;?;?;No
Scrollback;Partial;No;Yes;Yes;?;?;?;?;No;No
Smuxi;Yes;No;Yes;Yes;?;?;?;?;No;No
Snak;Yes;Yes;Yes;Yes;?;?;?;?;?;No
Visual IRC;Yes;Yes;No;No;?;?;?;?;?;No
WeeChat;Yes;Yes;Yes;Yes;Yes;?;?;?;Yes;Yes
Client;CTCP;DCC;IPv6;SSL;TLS;DANE;OCSP;CRL;SASL;OTR
