Implementation;brainpoolP256r1 (26);brainpoolP384r1 (27);brainpoolP512r1 (28);X25519;Curve448 Ed448-Goldilocks;M221 Curve2213;E222;Curve1174;E382;M383;Curve383187;Curve41417 Curve3617;M511 Curve511187;E521
Botan;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No
BoringSSL;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No
GnuTLS;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No
JSSE;No;No;No;Yes (JDK 13+);No;No;No;No;No;No;No;No;No;No
LibreSSL;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No
MatrixSSL;Yes;Yes;Yes;TLS 1.3 only;No;No;No;No;No;No;No;No;No;No
Mbed TLS;Yes;Yes;Yes;Primitive only;Primitive only;No;No;No;No;No;No;No;No;No
NSS;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No
OpenSSL;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No
RSA BSAFE;No;No;No;No;No;No;No;No;No;No;No;No;No;No
SChannel Vista/2008, 7/2008R2, 8/2012, 8.1/2012R2, 10;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Secure Transport;No;No;No;No;No;No;No;No;No;No;No;No;No;No
wolfSSL;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No
Erlang/OTP SSL application;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No
Implementation;brainpoolP256r1 (26);brainpoolP384r1 (27);brainpoolP512r1 (28);Curve25519;Curve448 Ed448-Goldilocks;M221 Curve2213;E222;Curve1174;E382;M383;Curve383187;Curve41417 Curve3617;M511 Curve511187;E521
