Esperanto	Esperanto		InterlinguaEnglish	Interlingua
Preferred form		Alternative formPreferred Form	English	Alternative form
sana	sana		sanhealthy	san
sano	sano		sanitatehealth	sanitate
malsana		morbamalade		malsansick, unhealthy
malsano		morbomaladia, morbo		malsanitatemalady, illness, disease
malsanulejo		hospitalohospital		malsanitariohospital
saniĝi		reakirirecovrar		sanarto become healthy, recover
sanigi		kuracicurar		sanarto make healthy, cure
malsaniĝi	malsaniĝi		cader malademalsanarto become sick, fall ill	
