Dataset Name ;Brief description ;Preprocessing ;Instances ;Format ;Default Task ;Created (updated) ;Reference ;Creator 
Artificial Characters Dataset ;Artificially generated data describing the structure of 10 capital English letters. ;Coordinates of lines drawn given as integers. Various other features. ;6000 ;Text ;Handwriting recognition, classification ;1992 ;Botta, M., A. Giordana, and L. Saitta. "Learning fuzzy concept definitions." Fuzzy Systems, 1993., Second IEEE International Conference on. IEEE, 1993. ;H. Guvenir et al. 
Letter Dataset ;Upper case printed letters. ;17 features are extracted from all images. ;20,000 ;Text ;OCR, classification ;1991 ; doi-access = free  citeseerx = 10.1.1.59.4865  ;D. Slate et al. 
 CASIA-HWDB ; Offline handwritten Chinese character database. 3755 classes in the GB 2312 character set. ; Gray-scaled images with background pixels labeled as 255.  ;1,172,907 ;Images, Text ;Handwriting recognition, classification ;2009 ;doi=10.1016/j.patcog.2012.06.021  ;CASIA 
 CASIA-OLHWDB ; Online handwritten Chinese character database, collected using Anoto pen on paper. 3755 classes in the GB 2312 character set. ; Provides the sequences of coordinates of strokes. ;1,174,364 ;Images, Text ;Handwriting recognition, classification ; 2009 ; s2cid=5705532  ;CASIA 
Character Trajectories Dataset ;Labeled samples of pen tip trajectories for people writing simple characters. ;3-dimensional pen tip velocity trajectory matrix for each sample ;2858 ;Text ;Handwriting recognition, classification ;2008 ;Williams, Ben H., Marc Toussaint, and Amos J. Storkey. Extracting motion primitives from natural handwriting data. Springer Berlin Heidelberg, 2006.Meier, Franziska, et al. "Movement segmentation using a primitive library."Intelligent Robots and Systems (IROS), 2011 IEEE/RSJ International Conference on. IEEE, 2011. ;B. Williams 
Chars74K Dataset ;Character recognition in natural images of symbols used in both English and Kannada ; ;74,107 ; ;Character recognition, handwriting recognition, OCR, classification ;2009 ;T. E. de Campos, B. R. Babu and M. Varma. Character recognition in natural images. In Proceedings of the International Conference on Computer Vision Theory and Applications (VISAPP), Lisbon, Portugal, February 2009 ;T. de Campos 
UJI Pen Characters Dataset ;Isolated handwritten characters ;Coordinates of pen position as characters were written given. ;11,640 ;Text ;Handwriting recognition, classification ;2009 ;Llorens, David, et al. "The UJIpenchars Database: a Pen-Based Database of Isolated Handwritten Characters." LREC. 2008. s2cid = 1427766  ;F. Prat et al. 
Gisette Dataset ;Handwriting samples from the often-confused 4 and 9 characters. ;Features extracted from images, split into train/test, handwriting images size-normalized. ;13,500 ;Images, text ;Handwriting recognition, classification ;2003 ;Guyon, Isabelle, et al. "Result analysis of the nips 2003 feature selection challenge." Advances in neural information processing systems. 2004. ;Yann LeCun et al. 
Omniglot dataset ;1623 different handwritten characters from 50 different alphabetss. ;Hand-labeled. ;38,300 ;Images, text, strokes ;Classification, one-shot learning ;2015 ;doi-access=free{{Citation|last=Lake|first=Brenden|title=Omniglot data set for one-shot learning|date=2019-11-09|url= ;American Association for the Advancement of Science 
MNIST database ;Database of handwritten digits. ;Hand-labeled. ;60,000 ;Images, text ;Classification ;1998 ; citeseerx = 10.1.1.32.9552  doi = 10.1016/j.imavis.2004.03.008  ;National Institute of Standards and Technology 
Optical Recognition of Handwritten Digits Dataset ;Normalized bitmaps of handwritten data. ;Size normalized and mapped to bitmaps. ;5620 ;Images, text ;Handwriting recognition, classification ;1998 ; hdl = 10338.dmlcz/135217  ;E. Alpaydin et al. 
Pen-Based Recognition of Handwritten Digits Dataset ;Handwritten digits on electronic pen-tablet. ;Feature vectors extracted to be uniformly spaced. ;10,992 ;Images, text ;Handwriting recognition, classification ;1998 ;Alimoglu, Fevzi, et al. "Combining multiple classifiers for pen-based handwritten digit recognition." (1996). doi=10.1016/j.patcog.2004.09.005 ;E. Alpaydin et al. 
Semeion Handwritten Digit Dataset ;Handwritten digits from 80 people. ;All handwritten digits have been normalized for size and mapped to the same grid. ;1593 ;Images, text ;Handwriting recognition, classification ;2008 ;Hong, Yi, et al. "Learning a mixture of sparse distance metrics for classification and dimensionality reduction." Computer Vision (ICCV), 2011 IEEE International Conference on. IEEE, 2011. ;T. Srl 
HASYv2 ;Handwritten mathematical symbols ;All symbols are centered and of size 32px x 32px. ;168233 ;Images, text ;Classification ;2017 ;year=2017 ;Martin Thoma 
Noisy Handwritten Bangla Dataset ;Includes Handwritten Numeral Dataset (10 classes) and Basic Character Dataset (50 classes), each dataset has three types of noise: white gaussian, motion blur, and reduced contrast. ;All images are centered and of size 32x32. ;Numeral Dataset:  23330,  Character Dataset:  76000 ;Images, text ;Handwriting recognition, classification ;2017 ;class=cs.CVs2cid=201665955 ;M. Karki et al. 
