 Name  ; Operating system ; Freeware version ; Portable ; Encrypts files ; Detect conflict ; File lock ; Open file support  ; Revision control ; Detect rename ; Detect move  ; Full duplex transfer ; Propagate deletes ; Case sensitive ; Delta copying (block level transfer) ; LAN Sync 
 GoodSync  ;Windows, OS X, Android, iPad, iPhone, USB flash drive ; yes ; Yes ; yes, beta ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ;yes 
 GS RichCopy 360  ;Windows ; Limited ; no ; no ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; Enterpriseversiononly ; yes 
 IBM Connections  ;Windows, OS X, Android, iOS ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no 
 MediaFire  ;Windows, OS X, Android, iOS ; yes ;  ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no 
 Name  ; Operating system ; Freeware version ; Portable ; Encrypts files ; Detect conflict ; File lock ; Open file support  ; Revision control ; Detect rename ; Detect move  ; Full duplex transfer ; Propagate deletes ; Case sensitive ; Delta copying (block level transfer) ; LAN Sync 
 Mega  ;Windows, OS X, Linux, Android, iPhone, BlackBerry ; yes ; ; yes ; yes ;  ;  ; yes ; yes ; yes ; yes ; yes ; yes ; No ; No 
 RepliWeb  ;Windows, Linux ; no ; ; ; Partial ; ; ; yes ; yes ; yes ; yes ; yes ; yes ; ; 
 Resilio Sync (ex. BitTorrent Sync)  ;Windows, OS X, Linux, Android, iOS, Windows Phone, Amazon Kindle Fire, FreeBSD ; Limited; no ; yes, optional ; no ; no ; no ; yes ; yes ; yes ; yes ; yes ; ; yes ; yes 
 Robocopy  ;Windows ; yes ; no ; ; no ;  ; ; ; ; ; ; ; ; ; 
 SecureSafe  ;Windows, OS X, Android, iOS ; yes ; ; ; yes ; no ; ; no ; no ; no ; no ; yes ; yes ; no ; no 
 SpiderOak  ;Windows, OS X, Debian, Fedora, Slackware, Android, iOS ; no ; ; ; no ; ; ; yes{{cite web ; url =  ; title =  Online Storage Battle: Which Cloud Back-Up Service Reigns Supreme? ; publisher = MacLife ; author = Susie Ochs ; date = 2009-06-11 ; accessdate = 2009-11-04 }} || no || || no || || || yesYes  ||  
 ShareFile  ;Windows, OS X, Android, iPhone ; yes ; ; yes ;  ; ; ; yes{{cite web ; url =  ; title = File Versioning ; publisher = Citrix ShareFile ; author = Citrix ShareFile ; access-date = 2015-01-10 ; archive-url =  ; archive-date = 2015-05-13 ; url-status = dead  
 SugarSync  ;Windows, OS X, Android, BlackBerry, iPhone, Windows Mobile ; no ; no ; ; yes ; ; ; yes{{cite web ; url =  ; title = See How SugarSync Stacks up to the Competition ; publisher = SugarSync (formerly called SharpCast) ; accessdate = 2010-01-13 }} || yes || yes || || yes || || || 
 Syncdocs  ;Windows, web app ; Betaversionsonly ; yes ; ; yes ; no ; yes ; yes ; yes ; yes ; Microsoft Word only ; yes ; ; ; 
 Synchronize It!  ;Windows ; no ; ; ; no ; ; ; ; ; ; ; ; ; ; 
 Syncplicity  ;Windows, OS X, Android, iPhone, Windows Mobile ; yes ; ; ; yes ; ; ; yes ; ; ; yes ; yes ; ; No ; No 
 Tonido  ;Windows, OS X, Linux, Android, BlackBerry, iPhone, Windows Phone ; yes ; yes ; ; yes ; no ; yes ; no ; yes ; yes ; yes ; yes ; ; ; 
 Tresorit  ;Windows, OS X, Linux, Android, BlackBerry, iOS, Windows Phone ; Limited ; yes ; yes ; yes ; ; yes, for Windows ; yes ; ; ; ; yes ; yes ; no ;  
 Ubuntu One (discontinued 2 April 2014)  ;Windows, OS X, Ubuntu, iOS, Android ; yes ; ; ; ;  ; ; ; ; ; ; ; ; ;  
 Wuala (discontinued)  ;Windows, OS X, Debian, Ubuntu, Android, iOS ; yes ; ; yes ;  ; ; ; ; ; ; ; ; ; ; 
ZumoDrive (discontinued) ;Windows, OS X, Linux, Android, iPhone, Palm webOS ; yes ; ; ; yes ; ; ; yes ; ; ; ; ; ; ; 
 Zetta.net  ;Windows, OS X, Linux ; No ;  ; ; Yes  ; ; Yes ; Yes ; Yes ; Yes ; ; Yes ; Yes, Preserve file name case & file metadata; yes ; Yes 
 Name  ; Operating system ; Freeware version ; Portable ; Encrypts files ; Detect conflict ; File lock ; Open file support  ; Revision control ; Detect rename ; Detect move  ; Full duplex transfer ; Propagate deletes ; Case sensitive ; Delta copying (block level transfer) ; LAN Sync 
