 Name ; Hidden containers ; Pre-boot authentication ; Single sign-on ; Custom authentication ; Multiple keys ; Passphrase strengthening ; Hardware acceleration ; TPM ; Filesystems ; Two-factor authentication 
 Aloaha Secure Stick ; yes ; no ; n/a ; yes ; yes ; no ; no ; no ; NTFS, FAT32 ; yes 
 ArchiCrypt Live ; yesSecret-containers and Camouflage files ArchiCrypt Live Description ; no ; n/a ; no ; yesSupports "Guest" keys ; no ; no ; no ; dunno ; yesUsing "Archicrypt Card" 
 BestCrypt ; yes ; yes ; dunno ; yes ; yesSupported by the BestCrypt container format, see BestCrypt SDK ; yes ; yes ; yes ; Any supported by OS ; yesSupported by the BestCrypt Volume Encryption software 
 BitArmor DataControl ; no ; yes ; dunno ; no ; yes ; yes ; no ; no ; NTFS, FAT32 on non-system volumes ; no 
 BitLocker ; no ; yesWith PIN or USB key ; no ; yesBitLocker Drive Encryption: Value Add Extensibility Options ; yes ; yesRecovery keys only. ; yes ; yes{{Cite web|url= Drive Encryption Technical Overview|publisher=Microsoft|access-date=2008-03-13|url-status=dead|archive-url= ; Chiefly NTFS BitLockerFS ; yes BitLocker2F 
 Bloombase Keyparc ; no ; no ; n/a ; yes ; yes ; yes ; yes ; no ; dunno ; dunno 
 CGD ; no ; no ; n/a ; yesaccessdate=2006-12-24  ; yes ; yes ; no ; no ; Any supported by OS ; yes 
 CenterTools DriveLock ; no ; yes ; yes ; no ; no ; yes ; no ; no ; Any supported by OS ; yes 
 Check Point Full Disk Encryption ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; NTFS, FAT32 ; yes 
 CipherShed ; yes(limited to one per"outer" container) ; only on Windows ; dunno ; no ; yes with multiple keyfilesAlthough each volume encrypted with CipherShed can only have one active master key, it is possible to access its contents through more than one header. Each header can have a different password and/or keyfiles if any (cf. TrueCrypt FAQ: Is there a way for an administrator to reset a volume password or pre-boot authentication password when a user forgets it (or loses a keyfile)?) ; yes ; yes ; no ; Only Windows MBR volumes, no UEFI GPT drives, and dynamic drives discouragedfix-attempted=yes   ; yes 
 CryFS ; no ; no ; n/a ; no ; no ; yes{{cite web|title=CryFS: How it works|url= ; no ; no ; Any supported by OS ; no 
 CrossCrypt ; no ; no ; n/a ; no ; no ; no ; no ; no ; dunno ; no 
 CryptArchiver ; no ; no ; n/a ; no ; no ; dunno ; no ; no ; dunno ; dunno 
 Cryptic Disk ; yes ; no ; no ; no ; yes ; yes ; yes ; no ; Any supported by OS ; yes 
Cryhod ; no ; yes ; yes ; no ; yes ; yes ; yes ; no ; Any supported by OS ; yes 
 Cryptoloop ; no ; yesdm-crypt and cryptoloop volumes can be mounted from the initrd before the system is booted ; dunno ; yes ; no ; no ; yesdate=January 2008 ; no ; Any supported by OS ; dunno 
 Cryptomator ; no ; no ; n/a ; no ; no ; yes ; yes ; no ; Any supported by OS ; no 
 CryptoPro Secure Disk Enterprise ; Yes with add-on Secure Device ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; Any supported by OS ; yes 
 CryptoPro Secure Disk for BitLocker ; Yes with add-on Secure Device ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; Any supported by OS ; yes 
 Cryptsetup / Dmsetup ; no ; yes ; dunno ; yes ; no ; no ; yes ; no ; Any supported by OS ; yes 
 DiskCryptor ; no ; yes ; dunno ; no ; no ; no ; yes ; no ; Only Windows MBR volumes, no UEFI GPT drives, ReFs ; yes 
 DISK Protect ; no ; yes ; yes ; no ; yes ; no ; yes ; yes ; NTFS,FAT32 ; yes 
 Dm-crypt / LUKS ; no ; yes ; dunno ; yes ; yes ; yes ; yes ; Partialdm-cryptTPM  ; Any supported by OS ; yes 
 DriveCrypt ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; Any supported by OS ; yes 
 DriveSentry GoAnywhere 2 ; no ; no ; n/a ; yes ; no ; yes ; no ; dunno ; Any supported by OS ; yes 
 E4M ; No ; No ; n/a ; No ; No ; dunno ; No ; no ; dunno ; no 
 e-Capsule Private Safe ; yes ; no ; n/a ; no ; yes ; no ; yes ; no ; dunno ; dunno 
 eCryptfs ; no ; no ; n/a ; yes ; yes ; yes ; yes ; yes ; yesuses the lower filesystem (stacking) ; yes 
