 File archivers ; Data compression ; Shell integration ; Password protection ; Multiple volumes ; Self extraction ; File repairing ; Batch conversion ; Unicode file /directory names5 ; Encryption ; Filename Encryption 
 rh| 7-Zip ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes 
 rh| ALZip ; yes ; yes ; yes ; yes ; yes ; yes ; yes8 ; no ; unk ; unk 
 rh| Archive Manager ; yes ; yes ; yes ; yes ; no ; no ; no ; Yes ; Yes ; Yes 
 rh| Archive Utility ; yes ; yes ; no ; unk ; no ; no ; yes ; yes ; unk ; unk 
 rh| ARJ ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; unk ; unk ; unk 
 rh| Ark ; yes ; yes ; yes ; yes ; no ; no ; no ; yes ; yes ; yes 
 rh| B1 Free Archiver ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes 
 rh| BetterZip ; yes ; yes ; yes ; yes ; no ; no ; no ; yes ; yes ; yes 
 rh| bsdtar/libarchive ; non-tar formats2 ; yes ; zip ; yes ; no ; no ; yes ; yes ; 7z, zip, rar ; 7z, zip, rar 
 rh| Commander One ; yes ; no ; yes ; no ; no ; no ; yes ; yes ; unk ; yes for 7z 
 rh| CRAX Commander ; yes ; yes ; no ; no ; no ; no ; yes ; yes ; no ; no 
 rh| Disk ARchiver ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes 
 rh2| Filzip ; yes ; yes ; yes ; unk ; yes ; no ; no ; unk ; unk ; unk 
 rh| FreeArc ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes 
 rh| GNU tar ; no2 ; yes ; no ; yes ; no ; partialSeparate ; yes ; yes ; unk ; unk 
 rh2| iArchiver ; yes ; no ; yes ; yes ; no ; no ; no ; yes ; unk ; unk 
 rh| Info-ZIP ; yes ; no11 ; yes ; yes12 ; yes ; yes ; yes ; yes12 ; yesZipCrypto (weak) and AES12 ; no 
 rh2| KGB Archiver ; yes ; partialNot enabled by default ; yes ; unk ; yes ; no ; no ; yes ; yes ; unk 
 rh| PeaZip ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes9 ; yes10 ; yes 
 rh| PKZIP ; yes ; yes ; yes ; no ; partialSeparate ; partialSeparate ; no ; yes ; yes ; unk 
 rh| PowerArchiver ; yes ; yes ; yes ; yes ; yes ; yes ; yes7 ; yes ; yes ; yes 
 rh| StuffIt ; yes ; yes ; yes ; unk ; yes ; yes ; yes ; yes ; yes ; unk 
 rh| The Unarchiver ; no1 ; some formats ; yes ; yes ; yes ; yes ; yes ; yes1 ; yes ; unk 
 rh2| TUGZip ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; unk 
 rh2| WinAce ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; unk 
 rh| WinRAR and RAR ; yes ; yes ; yes ; yes ; yes ; yes3 ; yes ; yes6 ; yes ; yes 
 rh| WinZip ; yes ; yes ; yes ; yes ; yes ; yes ; yes10 ; yes ; yes ; yes 
 rh| XAD ; no1 ; yes ; yes ; unk ; yes ; unk ; unk ; unk ; unk ; unk 
 rh2| Xarchiver ; yes ; yes ; yes ; unk ; yes ; unk ; unk ; unk ; unk ; unk 
 rh| ZipGenius ; yes ; yes ; yes ; unk ; yes ; unk ; yes ; no ; unk ; unk 
 rh| ZPAQ ; yes ; unk ; yes ; yes ; no ; unk ; unk ; yes ; yes ; unk 
 ; Data compression ; Shell integration ; Password protection ; Multiple volumes ; Self extraction ; File repairing ; Batch conversion ; Unicode file /directory names5 ; Encryption ; Filename Encryption 
