Model ;Launch ;Code name ;Process ;Transistors (billion) ;Die size (mm2) ;Core configname=CoreConfig ;Bus interface ;L2 Cache (MB) ;Clock speeds ;Clock speeds ;Clock speeds ;Memory ;Memory ;Memory ;Memory ;Fillratename=PerfValues ;Fillratename=PerfValues ;Processing power (GFLOPS)name=PerfValuesname=ProcessingPower ;Processing power (GFLOPS)name=PerfValuesname=ProcessingPower ;Processing power (GFLOPS)name=PerfValuesname=ProcessingPower ;TDP (Watts) ;SLI support ;Release price (USD) ;Release price (USD) 
Model ;Launch ;Code name ;Process ;Transistors (billion) ;Die size (mm2) ;Core configname=CoreConfig ;Bus interface ;L2 Cache (MB) ; Base core clock (MHz) ; Boost core clock (MHz) ; Memory (MT/s) ; Size (GiB) ; Bandwidth (GB/s) ; Bus type ; Bus width (bit) ; Pixel (GP/s)name=PixelFillrate{{efn|As the GTX 1070 has one of the four GP104 GPCs disabled in the die, its frontend is only able to rasterize 48 pixels per clock. ; Texture (GT/s)name=TextureFillrate ; Single precision ; Double precision ; Half precision ;TDP (Watts) ;SLI support ; MSRP ; Founders Edition 
 GeForce GT 1030 ; March 12, 2018 ; GP108-310-A1 ; Samsung14LPP ; 1.8 ; 74 ; 384:24:16 (3) (1) ; PCIe 3.0 x4 ;? ; 1152 ; 1379 ; 2100 ; 2 ; 16.8 ; DDR4 ; 64 ; 18.422.0 ; 27.633.0 ; 884.71059.0 ; 27.633.0 ; 13.816.5 ; 20 ; rowspan=12 No ; $79 ; rowspan=10 N/A 
 GeForce GT 1030 ; May 17, 2017 ; GP108-300-A1 ; Samsung14LPP ; 1.8 ; 74 ; 384:24:16 (3) (1) ; PCIe 3.0 x4 ;.5 ; 1227 ; 1468 ; 6000 ; 2 ; 48.0 ; GDDR5 ; 64 ; 19.623.4 ; 29.435.2 ; 942.31127.4 ; 29.435.2 ; 14.717.6 ; 30 ; $70 
 GeForce GTX 1050{{Cite web|url= GTX 1050 Graphics Card|website=nvidia.com|language=en-us|access-date=2018-12-27|archive-url= ; October 25, 2016 ; GP107-300-A1 ; Samsung14LPP ; 3.3 ; 132 ; 640:40:32 (5) (2) ; PCIe 3.0 x16 ;1 ; 1354 ; 1455 ; 7000 ; 2 ; 112.0 ; GDDR5 ; 128 ; 43.346.6 ; 54.158.8 ; 1733.11862.4 ; 54.158.2 ; 27.029.1 ; 75(Retailup to120) ; $109 
 GeForce GTX 1050{{Cite web|url= GTX 1050 Graphics Card|website=nvidia.com|language=en-us|access-date=2018-12-27|archive-url= ; May 21, 2018 ; GP107-301-A1 ; Samsung14LPP ; 3.3 ; 132 ; 768:48:24 (6) (2) ; PCIe 3.0 x16 ;.75 ; 1392 ; 1518 ; 7000 ; 3 ; 84.0 ; GDDR5 ; 96 ; 33.436.4 ; 66.872.9 ; 2138.12331.6 ; 66.872.9 ; 33.436.4 ; 75(Retailup to120) ; Unk 
 GeForce GTX 1050Ti ; October 25, 2016 ; GP107-400-A1 ; Samsung14LPP ; 3.3 ; 132 ; 768:48:32 (6) (2) ; PCIe 3.0 x16 ;1 ; 1290 ; 1392 ; 7000 ; 4 ; 112.0 ; GDDR5 ; 128 ; 41.244.5 ; 61.966.8 ; 1981.42138.1 ; 61.966.8 ; 30.933.4 ; 75(Retailup to120) ; $139 
 GeForce GTX 1060 ; December 25, 2016 ; GP104-140-A1 ; TSMC16FF ; 7.2 ; 314 ; 1152:72:48 (9) (2) ; PCIe 3.0 x16 ;1.5? ; 1506 ; 1708 ; 8000 ; 3 ; 192.0 ; GDDR5 ; 192 ; 72.281.9 ; 108.4122.9 ; 3469.83935.2 ; 108.4122.9 ; 54.261.4 ; 120(Retailup to200) ; $199 
 GeForce GTX 1060 ; August 18, 2016 ; GP106-300-A1 ; TSMC16FF ; 4.4 ; 200 ; 1152:72:48 (9) (2) ; PCIe 3.0 x16 ;1.5 ; 1506 ; 1708 ; 8000 ; 3 ; 192.0 ; GDDR5 ; 192 ; 72.281.9 ; 108.4122.9 ; 3469.83935.2 ; 108.4122.9 ; 54.261.4 ; 120(Retailup to200) ; $199 
 GeForce GTX 1060 ; December 26, 2017 ; GP106-350-K3-A1 ; TSMC16FF ; 4.4 ; 200 ; 1280:80:40 (10) (2) ; PCIe 3.0 x16 ;1.25 ; 1506 ; 1708 ; 8000 ; 5 ; 160.0 ; GDDR5 ; 160 ; 60.268.3 ; 120.4136.7 ; 3855.34375.0 ; 120.4136.7 ; 60.268.3 ; 120(Retailup to200) ; OEM 
 GeForce GTX 1060 ; March 8, 2018 ; GP104-150-A1 ; TSMC16FF ; 7.2 ; 314 ; 1280:80:48 (10) (2) ; PCIe 3.0 x16 ;1.5 ; 1506 ; 1708 ; 8000 ; 6 ; 192.0 ; GDDR5 ; 192 ; 72.282.0 ; 120.4136.7 ; 3855.34375.0 ; 120.4136.7 ; 60.268.3 ; 120(Retailup to200) ; rowspan=2 unk 
