 DVR ; MPEG-1 ; MPEG-2 ; MPEG-4 ASP (MPEG-4 Part 2), i.e. DivX, XviD ; H.264/MPEG-4 AVC (MPEG-4 Part 10) ; HEVC (H.265) ; VP8 ; VP9 ; WMV ; AVI ; ASF ; QuickTime ; MP4 ; RealVideo ; MKV 
 Rh| Beyond TV ; Yes ; Yes ; Yes ; Yes ; unk ; unk ; unk ; Yes ; Yes ; unk ; No ; No ; No ; unk 
 Rh| EyeTV ; yes ; yes ; unk ; yes ; unk ; unk ; unk ; unk ; unk ; unk ; yes ; unk ; unk ; unk 
 Rh| WinTV ; unk ; Yes ; Yes ; Yes ; unk ; unk ; unk ; unk ; Yes ; unk ; unk ; Yes ; unk ; unk 
 Rh| NextPVR ; unk ; Yes ; Yes ; Yes ; unk ; unk ; unk ; unk ; Yes ; unk ; unk ; Yes ; unk ; unk 
 Rh| Kodi (formerly XBMC) ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes 
 Rh| MediaPortal ; Yes ; Yes ; Yes ; Yes ; unk ; unk ; unk ; Yes ; Yes ; Yes ; NoPossible with third-party software. ; Yes ; No ; Yes 
 Rh| MediaPhoenix/ShowShifter ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk 
 Rh| MythTV ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes 
 Rh| SageTV ; Yes ; Yes ; Yes ; Yes ; unk ; unk ; unk ; Yes ; Yes ; Yes ; Yes ; Yes ; unk ; Yes 
 Rh| Arcsoft TotalMedia Theatre ; Yes ; Yes ; Yes ; Yes ; unk ; no ; unk ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; unk 
 Rh| Windows Media Center ; Yes ; Yes ; Yes ; Yes ; unk ; unk ; unk ; Yes ; Yes ; Yes ; YesWindows 7 only ; Yes ; No ; unk 
 Rh| VBox@TV ; yes ; yes ; Yes ; yes ; unk ; unk ; unk ; unk ; Yes ; unk ; unk ; unk ; unk ; unk 
