 Name ; Unicode Support ; Single parent family ; Same sex marriage ; Witness to events ; Name variants ; Conflicting evidence ; Source surety ; Adoption & foster parent ; non-standard calendarin date fields 
 rh| Agelong Tree ; yes ; yes ; no ; yes ; yes ; dunno ; yes ; yes ; yes 
 rh| Ahnenblatt ; yes ; yes ; yes ; partialchristening and marriage only ; yes ; dunno ; yes ; yes ; yes 
 rh| Ancestral Quest ; yes ; yes ; no ; dunno ; yes ; yes ; yes ; yes ; dunno 
 rh|Ancestris ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; noa 
 rh| Brother's Keeper ; no ; yes ; yes ; yes ; yes ; dunno ; yes ; yes ; yes 
 rh| Family Historian ; yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes 
 rh| Family Tree Builder ; yes ; yes ; yes ; dunno ; yes ; dunno ; yes ; yes ; yes 
 rh| Family Tree Maker ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; no 
 rh| GEDitCOM II ; yes ; dunno ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Genbox Family History ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| GenealogyJ ; yes ; dunno ; partialOne partner's gender mislabelled ; no ; yes ; yes ; dunno ; yes ; dunno 
 rh| GenoPro ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 rh| Gramps ; yes ; yes ; partialOne partner's gender mislabelled ; yes ; yes ; dunno ; yes ; yes ; yes 
 rh| Heredis ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 rh| Legacy Family Treeb ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; dunno 
 rh| LifeLines ; yes ; dunno ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| MacFamilyTree ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 rh| Personal Ancestral File ; yes ; dunno ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Reunion ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; yes ; yes 
 rh| RootsMagic ; yes ; dunno ; yes ; yes(paid version) ; yes ; yes ; yes ; yes ; yes 
 rh| The Master Genealogist ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
webtrees ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
