 ; Inverse searchInverse search means that one can locate the relevant part of the source code from the viewer (e.g., double-clicking in dvi or pdf file brings up the appropriate line/paragraph in the latex code) ; DDE supportOn Windows some pdf viewers like Sumatra PDF or Adobe Reader don't use command line arguments for forward search, but the editor sends the document position to them using Dynamic Data Exchange ; Organises Projects ; Menu for inserting symbols ; Document comparison ; Spell-checking ; Multiple undo-redo  
 AUCTeX ; yes ; no ; partial (master file) ; yes ; yes ; yesRequires installation of extra package. ; yes  
 Authorea ; yes ; N/A ; yes ; no ; no ; yes ; yes  
Auto-Latex Equations for Google Docs ; yes ; N/A ; yes ; no ; no ; yes ; yes  
CoCalc ; yes ; N/A ; no ; no ; no ; yes ; yes  
 GNOME LaTeX ; yes ; N/A ; yes ; yes ; no ; yes ; yes  
 Gummi ; yes ; N/A ; yes ; no ; no ; yes ; yes  
 Kile ; yes ; no ; yes ; yes ; no ; yes ; yes  
 LEd ; yes ; ? ; yes ; yes ; no ; yes ; yes  
 LyX ; yes ; ? ; no ; yes ; yes ; yes ; yes  
 MeWa ; no ; no ; no ; yes ; no ; yes ; yes  
 Notepad++ ; yes, with SumatraPDF ; yes, with a DDE client ; yes ; partialA plug-in is required. ; yes ; yes ; yes  
 Overleaf ; yes ; no ; yes ; no ; yes ; yes ; yes  
 Scientific WorkPlace ; N/A ; ? ; ? ; yes ; no ; yes ; no (one level)  
 TexLab ; yes ; N/A ; yes ; yes ; no ; yes ; yes  
 TeXmacs ; yes ; yes ; no ; yes ; no ; yes ; yes  
 Texmaker ; yes ; no ; partial (master file) ; yes ; no ; yes ; yes  
 TeXnicCenter ; yes ; yes ; yes ; yes ; no ; yes ; yes  
 TeXShop ; yes ; no ; no ; yesLaTeX panel & Matrix panel ; no ; yes ; yes  
 TeXstudio ; yes ; yes ; partial (master file) ; yes ; yes ; yes ; yes  
 TeXworks ; yes ; no ; no ; no ; no ; yesRequires installation of extra package ; yes  
 Verbosus ; no ; no ; yes ; yes ; no ; no ; yes  
WinEdt ; yes ; yes ; yes ; yes ; yes ; yes ; yes  
 WinShell ; yes ; no ; yes ; yes ; no ; yes ; yes  
 ; Inverse search ; DDE Support ; Organises Projects ; Menu for inserting symbols ; Document comparison ; Spell-checking ; Multiple undo-redo 
