 Client ; Message templates ; Message templates ; Message templates ; Message templates ; Message templates ; Message templates ; Message templates individual for ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages 
 rh| Microsoft Office Outlook ;yes ;yes ;yes ;yes ; dunno ; dunno ; dunno ; no ; no ; dunno ; no ; dunno ; no ; dunno 
 rh2| Mozilla Mail & Newsgroups ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Mozilla Thunderbird ;yes ; yesTB_STATIONERY_EXT ; yesTB_STATIONERY_EXT ; yes ; yes ; yes ; profile ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh2| Mulberry ; yes ; yes ; yes ; yes ; dunno ; dunno ; dunno ; no ; no ; no ; no ; dunno ; dunno ; dunno 
 rh| Mutt ; yes ; yes ; yes ; no ; dunno ; dunno ; any ; no ; no ; no ; no ; yes ; dunno ; Internal macros 
 rh2| Netscape Messenger ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh2| Netscape Messenger 9 ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| nmh / MH ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Opera Mail ; no ; no ; no ; no ; no ; no ; n/a ; no ; no ; no ; no ; no ; no ; no 
 rh2| Outlook Express ; yes ; yes ; dunno ; yes ; dunno ; dunno ; dunno ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Pegasus Mail ; yes ; yes ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh2| Pine ; Yes ; Yes ; Yes ; dunno ; dunno ; dunno ; any ; dunno ; No ; No ; dunno ; dunno ; No ; dunno 
 rh2| Pocomail ; yes ; yes ; yes ; dunno ; dunno ; yes ; dunno ; no ; no ; no ; no ; no ; no ; PocoScript 
 rh| RoundCube ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; no ; no ; no ; no ; no ; no ; dunno 
 rh| SeaMonkey Mail & Newsgroups ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| SquirrelMail ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; no ; no ; no ; no ; no ; no ; dunno 
 rh| Sylpheed ; yes ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; no ; no ; no ; no ; no ; dunno ; dunno 
 rh| The Bat! ; yes ; yes ; yes ; yes ; yes ; yes ; accountfolderaddress book groupcontact ; yes BAT_js ; yes BAT_XMP ; yes BAT_XMP2 ; yes BAT_TBPyxie ; yes ; PCRE 6.2 ; Internal and plugins macros 
 rh2| Turnpike ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh2| Windows Live Mail ; yesSTATIONERY ; yesSTATIONERY ; dunno ; yesSTATIONERY ; dunno ; dunno ; dunno ; yes ; no ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh2| Windows Mail ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| YAM ; yes ; yes ; yes ; dunno ; yes ; yes ; dunno ; no ; no ; no ; no ; dunno ; dunno ; ARexx 
 rh| Zimbra ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; any ; no ; no ; no ; no ; no ; dunno ; dunno 
 Client ; Message templates ; Message templates ; Message templates ; Message templates ; Message templates ; Message templates ; Message templates individual for ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages 
 Client ; new ; reply ; forward ; read confirmation ; save ; print ; Message templates individual for ; JavaScript ; VBScript ; PHP Scripts ; Python ; Regular expression ; Java ; Other (specify) 
