Model ;Launch ;Code name ;Process ;Transistors (billion) ;Die size (mm2) ;Core configname=CoreConfig ;Bus interface ;L2 Cache(MB) ;Clock speeds ;Clock speeds ;Clock speeds ;Memory ;Memory ;Memory ;Memory ;Fillratename=PerfValues ;Fillratename=PerfValues ;Processing power (GFLOPS)name=PerfValues ;Processing power (GFLOPS)name=PerfValues ;Processing power (GFLOPS)name=PerfValues ;Processing power (GFLOPS)name=PerfValues ;Ray-tracing Performance ;Ray-tracing Performance ;TDP (Watts) 
Model ;Launch ;Code name ;Process ;Transistors (billion) ;Die size (mm2) ;Core configname=CoreConfig ;Bus interface ;L2 Cache(MB) ; Base core clock (MHz) ; Boost core clock (MHz) ; Memory (MT/s) ; Size (GiB) ; Bandwidth (GB/s) ; Bus type ; Bus width (bit) ; Pixel (GP/s)name=PixelFillrate ; Texture (GT/s)name=TextureFillrate ; Single precision ; Double precision ; Half precision ; Tensor compute (FP16) ; Rays/s (Billions) ; RTX OPS/s (Trillions) ;TDP (Watts) 
 GeForce MX230 ; 20 ; GP108 (N17S-G0) ; 14 ; 1.8 ; 70 ; 256:16:16 ; PCIe 3.0 x4 ;0.5 ; 1519 ; 1531 ; 7000 ; 24 ; 56 ; GDDR5 ; 64 ;25.31 ;25.31 ;810.0 ;25.31 ;12.66 ; rowspan=5 n/a ; rowspan=5 n/a ; rowspan=5 n/a ;10 
 GeForce MX250 ; 20 ; GP108 (N17S-G2) ; 14 ; 1.8 ; 70 ; 384:24:16 ; PCIe 3.0 x4 ;0.5 ; 1518 ; 1582 ; 7000 ; 24 ; 56 ; GDDR5 ; 64 ; 24.3 ; 36.4 ; 1166 ; 37.97 ; 18.98 ; 25 
 GeForce MX250 ; 20 ;GP108B ; 14 ; 1.8 ; 70 ; 384:24:16 ; PCIe 3.0 x4 ;0.5 ;937 ;1038 ; 7000 ; 24 ;48.06 ; GDDR5 ; 64 ;16.61 ;24.91 ;797.2 ;24.91 ;12.46 ;10 
GeForce MX330 ; 12 ;GP108 (N17S-G3) ; 14 ; 1.8 ; 70 ; 384:24:16 ; PCIe 3.0 x4 ;0.5 ;1531 ;1594 ; 7000 ; 24 ;56 ; GDDR5 ; 64 ;25.50 ;38.26 ;1224 ;38.26 ;19.13 ; 25 
GeForce MX350 ; 12 ;GP107 (N17S-G5) ; 14 ;3.3 ;135 ;640:32:16 ; PCIe 3.0 x4 ;0.5 ;1354 ;1468 ; 7000 ; 24 ;56 ; GDDR5 ; 64 ;23.49 ;46.98 ;1879 ;58.72 ;29.36 ;20 
GeForce MX450 ;August 1, 2020 ;TU117 (N18S-G5) ;? ;? ;? ;896:?:? ;? ;? ;1395 ;1575 ;? ;? ;? ;? ;? ;? ; ; ; ; ; ; ; ; 
GeForce RTX2060{{Cite web|title=NVIDIA GeForce RTX 2060 Mobile Specs|url= ;29 ;TU106 ;TSMC12FFN ;10.8 ;445 ;1920:120:48:240:30 (30) (3) ;PCIe 3.0 x16 ;3 ;960 ;1200 ;14000 ;6 ;336.0 ;GDDR6 ;192 ;57.6 ;144 ;4608 ;144.0 ;9216 ; ; ; ;80 
GeForce RTX2060 Max-Q{{Cite web|title=NVIDIA GeForce RTX 2060 Max-Q Specs|url= ;29 ;TU106 ;TSMC12FFN ;10.8 ;445 ;1920:120:48:240:30 (30) (3) ;PCIe 3.0 x16 ;3 ;975 ;1175 ;11000 ;6 ;264.0 ;GDDR6 ;192 ;56.88 ;142.2 ;4550 ;142.2 ;9101 ; ; ; ;65 
 GeForce RTX2070 ;29 ;TU106 ;TSMC12FFN ;10.8 ;445 ; 2304:144:64:288:36 (36) (3) ;PCIe 3.0 x16 ;4 ;1215 ;1440 ;14000 ;8 ;448.0 ;GDDR6 ;256 ;92.16 ;207.4 ;6636 ;207.4 ;13270 ; ; ; ;115 
 GeForce RTX2070 Max-Q ;29 ;TU106 ;TSMC12FFN ;10.8 ;445 ; 2304:144:64:288:36 (36) (3) ;PCIe 3.0 x16 ;4 ;885 ;1185 ;12000 ;8 ;448.0 ;GDDR6 ;256 ;75.84 ;170.6 ;5460 ;170.6 ;10920 ; ; ; ;80 
GeForce RTX 2070 Super{Cite web|url= GeForce RTX 2070 SUPER Mobile Specs|website=TechPowerUp|language=en|access-date=2020-04-17}} ; 02 ;TU104 ;TSMC12FFN ;13.6 ;545 ; 2560:160:64:320:40 (40) (5) ;PCIe 3.0 x16 ;4 ;1140 ;1380 ;14000 ;8 ;448.0 ;GDDR6 ;256 ;88.3 ;220.8 ;7066 ;220.8 ;14130 ; ; ; ;115 
GeForce RTX 2070 Super Max-Q ; 02 ;TU104 ;TSMC12FFN ;13.6 ;545 ; 2560:160:64:320:40 (40) (5) ;PCIe 3.0 x16 ;4 ;930 ;1155 ;12000 ;8 ;448.0 ;GDDR6 ;256 ;69.1 ;172.8 ;5530 ;172.8 ;11060 ; ; ; ;80 
 GeForce RTX2080 ;29 ;TU104 ;TSMC12FFN ;13.6 ;545 ; 2944:184:64:368:46 (46) (6) ;PCIe 3.0 x16 ;4 ;1380 ;1590 ;14000 ;8 ;384.0 ;GDDR6 ;256 ;101.8 ;292.6 ; 9362 ; 292.6 ; 18720 ; ; ; ;150 
 GeForce RTX2080 Max-Q ;29 ;TU104 ;TSMC12FFN ;13.6 ;545 ; 2944:184:64:368:46 (46) (6) ;PCIe 3.0 x16 ;4 ;735 ;1095 ;12000 ;8 ;384.0 ;GDDR6 ;256 ;70.08 ;201.5 ;6447 ;201.5 ;12890 ; ; ; ;80 
GeForce RTX 2080 Super ;02 ;TU104 ;TSMC12FFN ;13.6 ;545 ;3072:192:64:384:48 (48) (6) ;PCIe 3.0 x16 ;4 ;1365 ;1560 ;14000 ;8 ;448.0 ;GDDR6 ;256 ;99.8 ;299.5 ;9585 ;299.5 ;19170 ; ; ; ;150 
GeForce RTX 2080 Super Max-Q ;02 ;TU104 ;TSMC12FFN ;13.6 ;545 ;3072:192:64:384:48 (48) (6) ;PCIe 3.0 x16 ;4 ;735 ;1080 ;11000 ;8 ;352.0 ;GDDR6 ;256 ;69.1 ;207.4 ;6636 ;207.4 ;13270 ; ; ; ;80 
