 ; String representation ; String representation ; Object copy ; Value equality ; Object comparison ; Hash code ; Object ID 
 ; Human-readable ; Source-compatible ; Object copy ; Value equality ; Object comparison ; Hash code ; Object ID 
 ABAP Objects ; colspan=7 n/a 
 APL (Dyalog) ; ⍕x ; ⎕SRC x ; ⎕NS x ; x = y ; colspan=2 n/a 
 C++ (STL) ;  ;  ;  ; x == yassuming that "x" and "y" are the objects (and not a pointer). Can be customized by overloading the object's == operator ;  ;  ; pointer to object can be converted into an integer ID 
 C# ; x.ToString() ; ; x.Clone() ; x.Equals(y) ; x.CompareTo(y) ; x.GetHashCode() ; System.Runtime.CompilerServices.RuntimeHelpers.GetHashCode(x) 
 Java ; x.toString() ; ; x.clone()Only accessible from within the class, since the clone() method inherited from Object is protected, unless the class overrides the method and makes it public. If using the clone() inherited from Object, the class must implement the Cloneable interface to allow cloning. ; x.equals(y) ; x.compareTo(y)The class should implement the interface Comparable for this method to be standardized. ; x.hashCode() ; System.identityHashCode(x) 
 JavaScript ; x.toString() ; ;  ;  ;  ;  ;  
 D ; x.toString() or  std.conv.to!string(x) ; x.stringof ; ; x == y or  x.opEquals(y) ; x.opCmp(y) ; x.toHash() ;  
 eC ; x.OnGetString(tempString, null, null) or  PrintString(x) ; ; y.OnCopy(x) ; ; x.OnCompare(y) ;  ;  object handle can be converted into an integer ID 
 Objective-C (Cocoa) ; x.description ; x.debugDescription ; [x copy]Implemented by the object's copyWithZone: method ; [x isEqual:y] ; [x compare:y]compare: is the conventional name for the comparison method in Foundation classes. However, no formal protocol exists ; x.hash ; pointer to object can be converted into an integer ID 
 Swift ; x.descriptionOnly if object conforms to the Printable protocol ; x.debugDescriptionOnly if object conforms to the DebugPrintable protocol ;  ; x == yOnly if object conforms to the Equatable protocol ; x < yOnly if object conforms to the Comparable protocol ; x.hashValueOnly if object conforms to the hashValue protocol ; reflect(x).objectIdentifier!.uintValue() 
 Smalltalk ; x displayString ; x printString ; x copy ; x = y ;  ; x hash ; x identityHash 
 Python ; str(x)Can be customized by the object's __str__() method ; repr(x)Can be customized by the object's __repr__() method ; copy.copy(x)Can be customized by the object's __copy__() method ; x == yCan be customized by the object's __eq__() method ; cmp(x, y)Only in Python 2.x and before (removed in Python 3.0). Can be customized by the object's __cmp__() method ; hash(x)Can be customized by the object's __hash__() method. Not all types are hashable (mutable types are usually not hashable) ; id(x) 
 Visual Basic .NET ; x.ToString() ; ; x.Clone() ; x.Equals(y) ; x.CompareTo(y) ; x.GetHashCode() ;  
 Eiffel ; x.out ; ; x.twin ; x.is_equal(y) ; When x is COMPARABLE, one can simply do x < y ; When x is HASHABLE, one can use x.hash_code ; When x is IDENTIFIED, one can use x.object_id 
 PHP ; $x->__toString() ; ; clone xCan be customized by the object's __clone() method ; x == y ;  ;  ; spl_object_hash(x) 
 Perl ; "$x"Can be customized by overloading the object's string conversion operator ; Data::Dumper->Dump([$x],['x'])This example requires useing Data::Dumper ; Storable::dclone($x)This example requires useing Storable ;  ;  ;  ; Scalar::Util::refaddr( $x )This example requires useing Scalar::Util 
 Raku ; ~x ; x.perl ; x.clone ; x eqv y ; x cmp y ;  ; x.WHICH 
 Ruby ; x.to_s ; x.inspect ; x.dup or  x.clone ; x == y or  x.eql?(y) ; x <=> y ; x.hash ; x.object_id 
 Windows PowerShell ; x.ToString() ; ; x.Clone() ; x.Equals(y) ; x.CompareTo(y) ; x.GetHashCode() ;  
 OCaml ;  ;  ; Oo.copy x ; x = y ; ; Hashtbl.hash x ; Oo.id x 
 F# ; string x or x.ToString() or sprintf "%O" x ; sprintf "%A" x ; x.Clone() ; x = y or x.Equals(y) ; compare x y or x.CompareTo(y) ; hash x or x.GetHashCode() ;  
 COBOL ; colspan=7 n/a 
