 Name ; x86, i386, IA-32 ; x86 SMP ; Xen ; IA-64 ; x86-64 ; PowerPC ; PowerPC SMP ; SPARC32 ; SPARC SMP ; Alpha ; MIPS ; ARM ; XScale ; M68k ; PA-RISC ; OpenRISC ; others ; hosted mode 
 Linux ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; FR-V, Cell, ETRAX CRIS, M32R, Xtensa, h8, s390, SuperH ; UML, coLinux, MkLinux, Itanium Linux-on-Linux, wombat 
 FreeBSD ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; no ; yes ; yes ; yes ; no ; no ; no ; PC98 ; 
 OpenBSD ; yes ; yes ; no ; no ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; no ; yes ; no ; SuperH ] ; 
 NetBSD ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; SuperH, ns32k, VAX, hppa, M68010, mipseb, mipsel, sh3eb, sh3el, sparc64 ; 
 DragonFly BSDDragonFly Frequently Asked Questions date=6 October 2006  ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; ; vkernel 
 OpenSolaris illumos ; yes ; yes ; yes ; no ; yes ; no ; no ; yes ; yes ; no ; no ; no ; no ; no ; no ; no ; ; 
 Darwin, OpenDarwin ; yes ; yes ; no ; no ; yes ; yes ; yes ; no ; no ; no ; no ; yes ; no ; yes ; no ; no ; ; L4/Darwin 
 MINIX ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; ; 
 FreeDOS ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; ; 
 Genode ; yes ; yes ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; RISC-V ; Linux 
 Haiku ; yes ; yes ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; nob1 ; no ; no ; no ; no ; ; 
 KolibriOS ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; ; 
 MenuetOS ; yes ; no ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; ; 
 GNU ; yes ; yesb4 ; yesb4 ; yesb4 ; yesb4 ; yesb4 ; yesb4 ; yesb4 ; yesb4 ; yesb4 ; yesb4 ; yesb4 ; yesb4 ; yesb4 ; yesb4 ; yesb4 ; FR-V, Cell, ETRAX CRIS, M32R, Xtensa, h8, s390, SuperHb4 ; UML, Itanium Linux-on-Linuxb5 
 ReactOS ; yes ; yes ; nob1 ; no ; yes ; nob1 ; nob1 ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; ; 
 RISC OS ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; ; 
 L4, Pistachio ; yes ; no ; no ; yesb2 ; yesb2 ; yesb2 ; no ; no ; no ; yesb2 ; yesb2 ; yes ; no ; no ; no ; no ; ; 
 Plan 9 ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yesb3 ; yesb3 ; yes ; yes ; yes ; yes ; yesb3 ; no ; no ; See ; lguest, vx32 
 AROS ; yes ; no ; no ; no ; yes ; yes ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; no ; ; i386-linux, i386-freebsd 
 Syllable ; yes ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; ; 
 Inferno ; yes ; dunno ; no ; no ; dunno ; yes ; dunno ; yes ; dunno ; no ; yes ; yes ; yes ; yesb3 ; no ; no ; AMD Am29000,b3 Texas Instruments OMAP ; Microsoft Windows, Linux, FreeBSD, Plan 9, OS X, Solaris, Irix, UnixWare,b3 HP-UX,b3 Internet Explorer 
 FreeRTOS ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; yes ; no ; no ; no ; yes ; AVR, PIC, MSP430, HCS12, 8052, MicroBlaze, Cortex-M3, H8S ; 
 eCos ; yes ; yes ; no ; no ; no ; yes ; no ; yes ; no ; no ; yes ; yes ; yes ; yes ; no ; yes ; CalmRISC, ColdFire, FR-V, h8, Matsushita AM3x, Nios II, NEC V8xx, SuperH ; Microsoft Windows, Linux 
 RTEMS ; yes ; no ; Xen ; no ; no ; yes ; no ; yes ; no ; no ; yes ; yes ; yes ; yes ; yes ; yes ; Blackfin, Nios II, Coldfire, Texas Instruments C3x/C4x, SuperH, H8S ; Linux, Solaris, Cygwin, FreeBSD, multiple CPU simulators 
 HelenOS ; yes ; yes ; no ; yes ; yes ; yes ; no ; yes ; yes ; no ; yes ; yes ; no ; no ; no ; no ; ; 
 E/OS ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; ; 
 TempleOS ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; ; QEMU, VirtualBox, etc. 
 K42 
 UnixLite  
 Name ; x86, i386, IA-32 ; x86 SMP ; Xen ; IA-64 ; x86-64 ; PowerPC ; PowerPC SMP ; SPARC32 ; SPARC SMP ; Alpha ; MIPS ; ARM ; XScale ; M68k ; PA-RISC ; OpenRISC ; other ; hosted mode 
