 Implementation ; brainpoolP256r1(26)RFC 7027 ; brainpoolP384r1(27) ; brainpoolP512r1(28) ; X25519 ; Curve448Ed448-Goldilocks ; M221Curve2213 ; E222 ; Curve1174 ; E382 ; M383 ; Curve383187 ; Curve41417Curve3617 ; M511Curve511187 ; E521 
 Botan ; yes ; yes ; yes ; yes ; no ; No ; No ; No ; No ; No ; No ; No ; No ; No 
 BoringSSL ; No ; No ; No ; yes ; no ; No ; No ; No ; No ; No ; No ; No ; No ; No 
 GnuTLS ; No ; No ; No ; yes ; no ; No ; No ; No ; No ; No ; No ; No ; No ; No 
 JSSE ; No ; No ; No ; Yes(JDK 13+) ; no ; No ; No ; No ; No ; No ; No ; No ; No ; No 
 LibreSSL ; yes ; yes ; yes ; yes ; no ; No ; No ; No ; No ; No ; No ; No ; No ; No 
 MatrixSSL ; yes ; yes ; yes ; TLS 1.3 only ; no ; No ; No ; No ; No ; No ; No ; No ; No ; No 
 Mbed TLS ; yes ; yes ; yes ; Primitive only ; Primitive only ; No ; No ; No ; No ; No ; No ; No ; No ; No 
 NSS ; No ; No ; No ; yes ; no ; No ; No ; No ; No ; No ; No ; No ; No ; No 
 OpenSSL ; yes ; yes ; yes ; yes{{cite web ; url =  ; title = OpenSSL1.1.0x Release Notes ; date = 25 August 2016 ; access-date = 18 May 2018 }}{{cite web ; url =  ; title = OpenSSL GitHub Issue #487 Tracker ; date = 2 December 2015 ; access-date = 18 May 2018 }} ; yes{{cite web ; url =  ; title = OpenSSL1.1.1x Release Notes ; date = 1 May 2018  ; access-date = 18 May 2018 }}{{cite web ; url =  ; title = OpenSSL GitHub Issue #5049 Tracker ; date = 9 January 2018 ; access-date = 18 May 2018 }} ; No ; No ; No ; No ; No ; No ; No ; No ; No 
 RSA BSAFE ; No ; No ; No ; no ; no ; No ; No ; No ; No ; No ; No ; No ; No ; No 
 SChannel Vista/2008, 7/2008R2, 8/2012, 8.1/2012R2, 10 ; No ; No ; No ; no ; no ; No ; No ; No ; No ; No ; No ; No ; No ; No 
 Secure Transport ; No ; No ; No ; no ; no ; No ; No ; No ; No ; No ; No ; No ; No ; No 
 wolfSSL ; yes ; yes ; yes ; yes ; no ; No ; No ; No ; No ; No ; No ; No ; No ; No 
 Erlang/OTP SSL application ; yes ; yes ; yes ; no ; no ; No ; No ; No ; No ; No ; No ; No ; No ; No 
 Implementation ; brainpoolP256r1(26) ; brainpoolP384r1(27) ; brainpoolP512r1(28) ; Curve25519 ; Curve448Ed448-Goldilocks ; M221Curve2213 ; E222 ; Curve1174 ; E382 ; M383 ; Curve383187 ; Curve41417Curve3617 ; M511Curve511187 ; E521  
