 Name ; Resourceaccesscontrol ; Subsystemisolationmechanisms ; Integratedfirewall ; Encryptedfilesystems ; No execute (NX)page flag ; No execute (NX)page flag ; Manufacturer acknowledged unpatched vulnerabilities (by severity) ; Manufacturer acknowledged unpatched vulnerabilities (by severity) ; Manufacturer acknowledged unpatched vulnerabilities (by severity) ; Manufacturer acknowledged unpatched vulnerabilities (by severity) ; Manufacturer acknowledged unpatched vulnerabilities (by severity) ; Manufacturer acknowledged unpatched vulnerabilities (by severity) 
 Name ; Resourceaccesscontrol ; Subsystemisolationmechanisms ; Integratedfirewall ; Encryptedfilesystems ; No execute (NX)page flag ; No execute (NX)page flag ; Secunia ; Secunia ; Secunia ; Secunia ; Secunia ; Security-Focus 
 Name ; Resourceaccesscontrol ; Subsystemisolationmechanisms ; Integratedfirewall ; Encryptedfilesystems ;Hard-ware ;Emula-tion ;Extremely critical(number / oldest);Highly critical(number / oldest);Moderately critical(number / oldest);Lesscritical (number / oldest);Notcritical(number / oldest);Total(number / oldest) 
 AIX 7.1 ; POSIX, ACLs, MAC, Trusted AIX - MLS, RBAC ; chroot ; IPFilter, IPsec VPNs, basic IDS ; yes ; yes ; n/a ; colspan="5" unk ; Good0 
 FreeBSD 10.1 ; POSIX, ACLs, MAC ; chroot, Jails, MAC partitions, multilevel security, Biba Model, BSD file flags set using chflags, Capsicum Capability-based security ; IPFW2, IPFilter, PF, IPsec ; yes ; yes ; yes ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ;  >0 
 GhostBSD 3.1 ; POSIX, ACLs, MAC ; chroot, jail, MAC partitions, BSD file flags set using chflags ; IPFW2, IPFilter, PF ; yes ; yes ; yes ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ;  >0 
 Genode ; Hierarchal, least privilege ; capability-based security ; Virtual switch and NAPT controls in user-space ; no ; kernel dependent ; no ; colspan="6" Unk 
 HP-UX 11.31 ; POSIX, ACLs ; chroot ; IPFilter ; yes ; dunno ; dunno ; Good0 ; Good0 ;  3br=yes ;  2br=yes ; Good0 ;  >0 
 Inferno ; POSIX ; Namespace, capability-based security, no superuser or setuid bit ; dunno ; dunno ; no ; no ; colspan="5" unk ;  >0 
 Linux-based 2.6.39 ; POSIX, ACLs, MAC ; chroot, seccomp, Namespace, SELinux, AppArmor ; Netfilter, varied by distribution ; yes ; yes ; yes ; Good0 ; Good0 ; Good0 ;  6br=yes ;  11br=yes ;  >0 
 Mac OS 9.2.2 ; no ; no ; no ; no ; no ; no ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ;  >0 
 OS X 10.10.5 ; POSIX, ACLs ; chroot, BSD file flags set using chflags ; ipfw ; yes ; Yes (as of 10.5, X64 only) ; Yes (Intel only) ; Good0 ; Good0 ;  1br=yes ;  2br=yes ;  5br=yes ;  >0 
 NetBSD 6.1.2 ; POSIX, Veriexec, PaX, kauth ; chroot, kauth, BSD file flags set using chflags ; IPFilter, NPF, PF ; yes ; yes ; no ; colspan="5" unk ;  >0 
 NetWare 6.5 SP8 ; Directory-enabled ACLs ; Protected address spaces ; IPFLT.NLM ; yes ; yes ; no ; Good0 ; Good0 ;  1br=yes ;  2br=yes ; Good0 ; Good0 
 OES-Linux ; Directory-enabled ACLs ; chroot ; IPFilter ; yes ; yes ; no ; colspan="5" unk ;  >0 
 OpenBSD 4.8 ; POSIX ; chroot, systrace, BSD file flags set using chflags ; PF ; yes ; yes ; yes ; colspan="5" unk ; Bad>0 
 OpenVMS 8.4 ; ACLs, privileges ; logical name tables ; dunno ; dunno ; yes ; dunno ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ;  Unknown 
 OS/2, eComStation, ArcaOS ; ACLs ; no ; IPFilter ; no ; dunno ; dunno ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 
 TrueOS 8.1 ; POSIX, ACLs, MAC ; chroot, jail, MAC partitions ; IPFW2, IPFilter, PF ; yes ; dunno ; dunno ; Good0 ; Good0 ; Good0 ; Good0 ; Good0 ;  >0 
 Plan 9 ; POSIX ? ; Namespaces, capability-based security, no superuser or setuid bit ; ipmux ; yes ; no ; no ; colspan="5" unk ;  >0 
 QNX 6.5.0 ; POSIX ; dunno ; PF, from NetBSD ; dunno ; dunno ; dunno ; Good0 ; Good0 ; Good0 ;  5br=yes ;  1br=yes ;  Unknown 
 RISC OS ; no ; no ; IPFilter ; no ; no ; no ; colspan="6" unk 
 Solaris 10 ; POSIX, RBAC, ACLs, least privilege, Trusted Extensions ; chroot, Containers, Logical Domains ; IPFilter ; Yes ; Yes ; No ; Good0 ;  2br=yes ;  5br=yes ;  3br=yes ;  2br=yes ;  >0 
