 Implementation ; Secure RenegotiationRFC 5746 ; Server Name IndicationRFC 6066 ; ALPNRFC 7301 ; Certificate Status Request ; OpenPGPRFC 6091 ; Supplemental DataRFC 4680 ; Session TicketRFC 5077 ; Keying Material ExporterRFC 5705 ; Maximum Fragment Length ; Truncated HMAC ; Encrypt-then-MACRFC 7366 ; TLS Fallback SCSVRFC 7507 ; Extended Master SecretRFC 7627 ; ClientHello PaddingRFC 7685 ; Raw Public KeysRFC 7250 
 Botan ; yes ; yes ; yes ; no ; no ; no ; yes ; yes ; yes ; No ; yes ; yes ; yes ; no ; unknown 
 cryptlib ; yes ; yes ; no ; no ; no ; yes ; no ; no ; noPresent, but disabled by default due to lack of use by any implementation. ; No ; yes ; yes ; yes ; no ; unknown 
 GnuTLS ; yes ; yes ; yes{{cite web|url= 3.2.0|accessdate=2015-01-26|archive-url= ; yes ; no ; yes ; yes ; yes ; yes ; No ; yes ; yes{{cite web|url= 3.4.4|accessdate=2015-08-25|archive-url= ; yes ; yes ; yes 
 JSSE ; yes ; Yes ; Yes ; yes ; no ; no ; yes ; no ; yes ; No ; no ; no ; yes ; no ; no 
 LibreSSL ; yes ; yes ; yes ; yes ; no ; no? ; yes ; yes? ; no ; No ; no ; Server side only ; no ; yes ; no 
 MatrixSSL ; yes ; yes ; yes ; yes ; no ; no ; yes ; no ; yes ; Yes ; no ; yes ; yes ; no ; unknown 
 Mbed TLS ; yes ; yes ; yes ; no ; no ; no ; yes ; no ; yes ; Disabled by default ; yes ; yes ; yes ; no ; no 
 NSS ; yes ; yes ; yes ; yes ; no ; no ; yes ; yes ; no ; No ; no ; yes ; yes ; yes ; unknown 
 OpenSSL ; yes ; yes ; yes ; yes ; no ; no? ; yes ; yes ; yes ; No ; yes ; yes ; yes ; yes ; no 
 RSA BSAFE Micro-Edition Suite ; yes ; yes ; no ; yes ; no ; no ; yes ; no ; yes ; Yes ; no ; no ; no ; no ; no 
 RSA BSAFE SSL-J ; yes ; yes ; no ; no ; no ; no ; no ; no ; yes ; Yes ; no ; no ; no ; no ; no 
 SChannel XP/2003 ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; No ; no ; no ; no ; no ; unknown 
 SChannel Vista/2008 ; yes ; yes ; no ; no ; no ; yes ; no ; no ; no ; No ; no ; no ; yes ; no ; unknown 
 SChannel 7/2008R2 ; yes ; yes ; no ; yes ; no ; yes ; no ; no ; no ; No ; no ; no ; yes ; no ; unknown 
 SChannel 8/2012 ; yes ; yes ; no ; yes ; no ; yes ; Client side only ; no ; no ; No ; no ; no ; yes ; no ; unknown 
 SChannel 8.1/2012R2, 10 ; yes ; yes ; yes ; yes ; no ; yes ; yes ; no ; no ; No ; no ; no ; yes ; no ; unknown 
 Secure Transport ; yes ; yes ; unknown ; no ; no ; yes ; no ; no ; no ; No ; no ; no ; no ; no ; unknown 
 wolfSSL ; yes ; yes ; yes ; yes ; no ; no ; yes ; no ; yes ; Yes ; no ; no ; yes ; no ; unknown 
 Erlang/OTP SSL application ; yes ; yes ; yes ; no ; no ; no ; no ; no ; no ; No ; no ; yes ; no ; no ; unknown 
 Implementation ; Secure Renegotiation ; Server Name Indication ; ALPN ; Certificate Status Request ; OpenPGP  ; Supplemental Data  ; Session Ticket  ; Keying Material Exporter  ; Maximum Fragment Length  ; Truncated HMAC  ; Encrypt-then-MAC ; TLS Fallback SCSV ; Extended Master Secret ; ClientHello Padding ; Raw Public Keys 
