 Driver name ; Chipset ; Integration ; Non-free firmware required  ; License ; Original/Primary developer ; Development 
 acx ; Texas InstrumentsACX100/ACX111 ; Integrated since 1.5 ; Yes ; BSD ; ; Reverse engineering 
 an ; Aironet4500/4800 ; Integrated ; On Device ; BSD ; Bill Paul(FreeBSD) ; 
 ath ; Atheros AR5210/AR5211/AR5212/AR5416 ; Integrated ; On Device ; BSD ; ; 
 bwi ; BroadcomBCM430x/4318 ; Integrated ; Yes ; BSD ; SepherosaZiehau ; Reverse engineering 
 iwi ; Intel PRO/Wireless2200BG/2915ABG ; Integrated ; Yes ; BSD ; Damien Bergamini(OpenBSD) ; Reverse engineering 
 iwl ; Intel PRO/Wireless2100 ; Integrated ; Yes ; BSD ; Damien Bergamini(OpenBSD) ; Reverse engineering 
iwm ;Intel Dual Band Wireless AC 3160/7260/8260/9260/9270/9560 ;Integrated| Integrated ; Yes ;BSD ;OpenBSD 
 iwn ; Intel 4965/1000/5000/5150/5300/6000/6050 ; Integrated ; Yes ; BSD ; Damien Bergamini(OpenBSD) ; Reverse engineering  
 ral ; Ralink RT2500/RT2501/RT2600 ; Integrated ; On Device ; BSD ; Damien Bergamini ; Ported fromFreeBSD 
 rtw ; RealtekRTL8180L ; Integrated ; On Device ; BSD ; ; Ported from NetBSD 
 rum ; RalinkRT2501USB/RT2601USB ; Integrated ; On Device ; BSD ; Damien Bergamini ; Ported fromFreeBSD 
 wi ; Lucent Hermes(WaveLAN / ORiNOCO),Intersil PRISM-II, -2.5, Symbol Spectrum24 802.11b ; Integrated ; On Device ; BSD ; Bill Paul (FreeBSD) ; Documentation based 
 wpi ; Intel3945ABG ; Integrated ; On Device ; BSD ; Damien Bergamini ; Ported from OpenBSD 
