 Audio compression format ; Creator ; First public release date ; Latest stable version ; Cost ; Cost ; Proprietary implementations (codecs) ; Open-source implementations (codecs) ; Uses(other than consumer audio) ; Music reproduction (consumer audio) ; Telephony app ; Lossless audio compression ; Patented ; DRM 
 ATRAC ; Sony Corp. ; 1991 ; ATRAC3plus ; Nonfree ; Nonfree ; MiniDisc, Walkman, VAIO, Clie, PlayStation 3, PlayStation Portable, SDDS, SonicStage, SoundForge, RealPlayer, ConnectPlayer ; FFmpeg (decoding only, ATRAC Advanced Lossless is only partially supported) ; voice recording, theatrical movie presentation ; Yes ; No ; Yes ; Yes ; Yes 
 BroadVoice (BV16, BV32) ; Broadcom ; 2009-08-19 ; 1.2 ; Free ; Free ; Dunno ; Dunno ; Speech, VoIP, Low latency, voice recording ; No ; Yes ; No ; Free ; No 
 CELT ; Xiph.Org Foundation, Jean-Marc Valin ; 2007-12-08 ; 0.11.1 (merged into Opus) ; Free ; Free ; Dunno ; libcelt, FFmpeg with libcelt library (decoding only) ; Speech, VoIP, Low latency, Studio/transmitter link, wireless audio ; Yes ; Yes ; No ; No ; No 
 Codec2 ; David Rowe ; 2010 ; Developmental ; Free ; Free ; Dunno ; c2enc, c2dec ; Low bandwidth HF/VHF digital radio, VoIP trunking ; No ; Yes ; No ; No ; No 
 Enhanced AC-3 (E-AC-3) ; Dolby Laboratories ; Dunno ; ATSC A52:2012 ; nonfree ; nonfree ; Digital television ; FFmpeg ; Theatrical movie presentation, digital TV service & home-video (personal recorders, DVD, etc.) ; No ; No ; No ; Yes ; Dunno 
 EVS ; Fraunhofer, JVC Kenwood , NTT, NTT Docomo, Panasonic, Ericsson ; 2014 ; dunno ; nonfree ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; Yes ; dunno 
 FLAC ; Xiph.Org Foundation, Josh Coalson ; 2001-07-20 ; 1.3.3 (2019-08-04) ; Free ; Free ; ; FLAC,FLAC website, Retrieved 2013-08-03 FlakeFlake website, Retrieved 2010-12-17 (encoding only), FFmpeg, FLACCLFLACCL website, Retrieved 2013-08-03 (encoding only), AudiocogsFLAC.js at the audiocogs website, retrieved 2013-08-03 (decoding only) ; Music archivalLibrary of Congress - FLAC (Free Lossless Audio Codec), Version 1.1.2 ; Yes ; No ; Yes ; No ; No 
 G.711 ; ITU-T ; 1972 (ITU-T standard from 1988) ; G.711 Appendix II (02/00) ; Free ; Free ; Various proprietary VoIP software ; FFmpeg, Ekiga, Asterisk (PBX) and almost any VoIP software ; voice recording ; No ; Yes ; No ; No ; No 
 G.722 ; ITU-T ; 1988-11 ; ; Free ; Free ; Various proprietary VoIP software ; Asterisk (PBX), QuteCom, FFmpeg ; voice recording ; No ; Yes ; No ; No ; No 
 G.722.1 ; ITU-T ; 1999-09 ; G.722.1 (05/05) ; Free ; Free ; Various proprietary VoIP software ; FreeSWITCH, PJSIP, etc ; voice recording ; No ; Yes ; No ; Yes ; No 
 G.722.2(AMR-WB) ; ITU-T (adopted directly from 3GPP) ; 2002-01 ; G.722.2 (07/03) ; Nonfree ; Nonfree ; QuickTime, RealPlayer ; FFmpeg (decoding only), FFmpeg with VisualOn libraries, Android (decoding only) ; voice recording, audio ; No ; No ; No ; Yes ; No 
 G.723.1 ; ITU-T ; 1996-03 ; G.723.1 (05/06) ; Nonfree ; Nonfree ; Various proprietary VoIP software ; FFmpeg ; voice recording ; No ; Yes ; No ; Yes ; No 
 G.726 ; ITU-T ; 1990-12 ; ; Free ; Free ; Various proprietary VoIP software ; FFmpeg, Ekiga and other VoIP software ; voice recording ; No ; Yes ; No ; No ; No 
 G.728 ; ITU-T ; 1992-09 ; ; Nonfree ; Nonfree ; Various proprietary VoIP software ; ; voice recording ; No ; Yes ; No ; Yes ; No 
 G.729 ; ITU-T ; 1996-03 ; G.729 (06/12) ; Free{{cite web|url= Licensed Patents under the G.729 Consortium have expired|archiveurl= ; Free ; Various proprietary VoIP software ; FFmpeg (decoding only) ; voice recording ; No ; Yes ; No ; Expired ; No 
G.729.1 ; ITU-T ; 2006-05 ; G.729.1 Am.8 (03/13) ; Free ; free ; Various proprietary VoIP software ; ; voice recording, DECT telephony ; No ; Yes ; No ; No ; No  
 GSM-FR ; ETSI Special Mobile Group ; 1990-1994 (ETS 300 580-2) ; ETSI EN 300 961 V8.1.1 (2000–11) ; Free ; Free ; ; FFmpeg (decoding only), FFmpeg with external library libgsm, Ekiga and other VoIP software ; voice recording ; No ; Yes ; No ; Dunno ; No 
 HE-AAC ; ISO/IEC MPEG Audio Committee ; 2003 ; ISO/IEC 14496-3 ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Yes ; No ; No ; Dunno ; Dunno 
 iLBC ; Global IP Solutions ; 2002 ; RFC 3951 ; Free ; Free ; Cisco IP Communicator,Cisco IP Communicator 7.0 Data sheet - support for iLBC Retrieved on 2009-07-08 old versions of SkypeSkype Community, Current Codec Uses date=July 16, 2011 , Retrieved on 2009-07-08 ; Ekiga, Asterisk (PBX) and other VoIP software, FFmpeg with libilbc library ; voice recording ; No ; Yes ; No ; Free ; No 
 iSAC ; Global IP Solutions ; Dunno ; ; free ; free ; Yahoo! Messenger ; WebRTC ; voice recording ; No ; Yes ; No ; Yes ; Dunno 
 Monkey's Audio ; Matthew T. Ashland ; 2000 ; 5.47 (2020.06.30) ; Free ; Free ; Monkey's Audio ; FFmpeg (decoding only) ; Music Archival ; Yes ; No ; Yes ; No ; No 
 MP2 (MPEG-1, 2 Audio Layer II) ; ISO/IEC MPEG Audio Committee ; 1993 ; ISO/IEC 11172-3, ISO/IEC 13818-3 ; FreeFFmpeg/Libavcodec, numerous others, see Open Source implementations FFMPEG formats ; Free ; various DVD software, video software, audio software ; TooLAME (encoding only), TwoLAME (encoding only), FFmpeg ; DAB, DVB, DVD ; Yes ; No ; No ; FreeKuro5hin.org (2008-07-20) Patent Status of MPEG-1,H.261 and MPEG-2, Retrieved 2009-09-05 ; Dunno 
 MP3 ; ISO/IEC MPEG Audio Committee ; 1993 ; ISO/IEC 11172-3, ISO/IEC 13818-3 ; Free ; Free ; FhG, l3enc, MP3enc, (old implementations: Xing TOMPG, SCMPX) ; LAME (encoding only), FFmpeg (decoding only), libmad (decoding only), AudiocogsJSMad at the audiocogs website, retrieved 2013-08-03 (decoding only), (old implementations: BladeEnc) ; - ; Yes ; No ; No ; NoBut see the main MP3 article for full details on MP3 licensing. ; Yes (optional, rarely used) 
 Musepack ; Frank Klemm/MDT ; 1997 ; 1.30 (2009-04-02) ; Free ; Free ; ; Musepack,Musepack website, Retrieved 2009-09-01 FFmpeg (decoding only) ; - ; Yes ; No ; No ; No ; No 
 Nellymoser Asao ; Nellymoser Inc. ; 2002 ; Dunno ; Nonfree ; Nonfree ; Adobe Flash, Flash Player ; FFmpeg ; voice recording ; No ; No ; No ; Yes ; Dunno 
 Opus ; Xiph.Org Foundation, Internet Engineering Task Force ; 2012-09-11 ; RFC 6716 (libopus1.3) ; Free ; Free ;  ; libopus, FFmpeg ; Speech, VoIP, Low latency, Studio/transmitter link, wireless audio, voice recording, WebRTC ; Yes ; Yes ; No ; Free ; No 
 SBC ; Bluetooth SIG ; 2003 ; A2DP 1.3 (2012-07-24) ; Free for Bluetooth ; Free for Bluetooth ; A2DP ; BlueZ, FFmpeg ; Bluetooth audio ; Yes ; No ; No ; Yes ; No 
 Shorten ; Tony Robinson ; 1993-03-30 ; 3.6.1 ; Free ; Free ; Shorten ; FFmpeg (decoding only) ; - ; Yes ; No ; Yes ; No (with commercial use restriction) ; No 
 SILK ; Skype Limited ; 2009-01-07 ; Merged into Opus ; Free ; Free ; Skype ; SILK Speech Codec ; voice recording ; No ; Yes ; No ; Yes ; Dunno 
 Siren 7 ; PictureTel Corp. (now Polycom Inc.) ; 1999 ; ; dunno ; dunno ; Microsoft Office Communicator ; FreeSWITCH (libg722_1,freeswitch.org libg722_1 - README, Retrieved 2014-07-16 aMSN (libsiren - part of libmsn)date=2013-05-24 KaKaRoTo (2008-02-12) MSN Protocol documentation , Pidgin.im mailinglist, Retrieved 2009-09-08 ; voice recording ; No ; Yes ; No ; Yes ; Dunno 
 Speex ; Xiph.Org Foundation, Jean-Marc Valin ; 2003-03-24 ; 1.2.0 (obsoleted by Opus) ; Free ; Free ; Adobe Flash Player 10 ; Speex,Speex website, Retrieved 2009-09-01 FFmpeg with libspeex library ; voice recording ; No ; Yes ; No ; No ; No 
 SVOPC ; Skype Limited ; 2007 ; ; Dunno ; Dunno ; Skype ; ; voice recording ; No ; Yes ; No ; Yes ; Dunno 
 True Audio (TTA) ; TAU Software ; 1999 ; 2.3 (2015-02-24) ; Free ; Free ; ; TTA,TAU Software website, Retrieved 2009-09-01 FFmpeg ; - ; Yes ; No ; Yes ; No ; No 
 TwinVQ ; Nippon Telegraph and Telephone ; 1996 (?) ; ; nonfree ; nonfree ; Winamp with VQF plugin, NTT TwinVQ player/encoder, Yamaha SoundVQ player, Nero Media Player ; FFmpeg (decoding only)FFmpeg (2009-08-24) News - August 24, 2009 - TwinVQ decoding in upcoming stable version, Retrieved 2009-10-07 ; speech ; Yes ; No ; No ; Yes ; Dunno 
 Vorbis (Ogg) ; Xiph.Org Foundation ; 2000-05-11 ; 1.3.6 ; Free ; Free ; ; libvorbis,Vorbis website date=2008-11-21 , Retrieved 2009-09-01 aoTuV,aoTuV website date=2010-05-22 , Retrieved 2009-09-01 FFmpeg ; - ; Yes ; No ; No ; No ; No 
 WavPack ; Conifer Software ; 1998 ; 5.3.0 (2020-04-14) ; Free ; Free ; ; WavPack,WavPack website, Retrieved 2009-09-01 FFmpeg ; Music archival ; Yes ; No ; Yes ; No ; No 
 Windows Media Audio ; Microsoft ; 1999 ; 11.0 ; Free for consumerlicenseesof theWindowsoperatingsystemdate=February 2019 ; Free forlicenseesof theWindowsoperatingsystem ; Windows Media Player, Windows Media Encoder ; FFmpeg (decoding only for Pro, Lossless and Voice) ; internet streaming ; Yes ; No ; Yes ; Yes ; Optional 
 Audio compression format ; Creator ; First public release date ; Latest stable version ; Encoder ; Player ; Proprietary implementations (codecs) ; Open-source implementations (codecs) ; Uses(other than consumer audio) ; Music reproduction (consumer audio) ; Telephony app ; Lossless audio compression ; Patented ; DRM 
 Audio compression format ; Creator ; First public release date ; Latest stable version ; cost  ; cost  ; Proprietary implementations (codecs) ; Open-source implementations (codecs) ; Uses(other than consumer audio) ; Music reproduction (consumer audio) ; Telephony app ; Lossless audio compression ; Patented ; DRM 
