 Product ; Highlight ; Annotate ; Edit meta-data ; Online dictionary ; Offline dictionary ; Lookup Wikipedia ; Translate ; Share ; TTS support (read aloud) ; DRM support ; Export to iTunes 
 Apabi Reader ; no ; no ; no ; no ; no ; no ; no ; Two Chinese websites only ; no ; no ; yes 
 Blio ; yes ; yes ; no ; yes ; yes ; yes ; no ; no ; yes ; no ; yes 
 Bluefire Reader ; yes ; yes ; Author, Title, Publisher ; yes ; no ; no ; no ; Facebook, Twitter, eMail ; no ; yes ; yes 
 DL Reader ; yes ; yes ; Author, Title, Publisher ; no ; no ; no ; yes ; no ; no ; Adobe DRM ; yes 
 eBookMobi ; no ; no ; no ; no ; yes ; no ; yes ; eMail ; no ; no ; yes 
 Ebook Reader ; yes ; yes ; no ; no ; no ; no ; no ; Facebook, Twitter, eMail, Google+ ; no ; Adobe DRM ; yes 
 i2Reader ; no ; no ; no ; no ; yes ; no ; no ; eMail ; no ; no ; yes 
 iBooks ; yes ; yes ; no ; yes ; yes ; yes ; no ; Facebook, Twitter, eMail, SMS ;  yes, via VoiceOver ; Apple FairPlay ; yes 
 Kindle ; yes ; yes ; no ; yes ; yes ; yes ; no ; Facebook, Twitter ; no ; yes ; yes 
 Kobo Reading App ; yes ; yes ; no ; yes ; no ; yes ; no ; Facebook, Twitter ; no ; yes ; yes 
 KyBook ; yes ; yes ; yes ; no ; yes ; yes ; yes ; Facebook, Twitter, eMail, VKontakte ; yes ; no ; yes 
KyBook 2| KyBook 2 ; yes ; yes ; no ; yes ; yes ; yes ; Facebook, Twitter, eMail, VKontakte ; yes ; no ; yes ; yes 
 MapleRead ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes 
 Marvin ; yes ; yes ; yes ; yes ; yes ; yes ; no ; Facebook, Twitter, eMail, customizable ; yes ; no ; yes 
 MegaReader ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; yes 
 PocketBook reader ; yes ; yes ; no ; yes ; yes ; yes ; no ; Facebook, Twitter, eMail, SMS ; no ; yes ; yes 
 ShuBook 2 ; no ; no ; Author, Title, Label ; no ; yes ; no ; no ; Whole book only, eMail ; no ; no ; yes 
 SideBooks ; yes ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; yes 
 Stanza ; no ; yes ; yes ; no ; yes ; no ; no ; Facebook, Twitter, eMail ; no ; no ; yes 
 uBooks XL ; yes ; no ; yes ; no ; no ; no ; yes ; eMail ; no ; no ; yes 
 iBouquiniste ; no ; no ; no ; no ; no ; yes ; yes ; eMail ; yes ; no ; yes 
 Product ; Highlight ; Annotate ; Edit meta-data ; Online dictionary ; Offline dictionary ; Lookup Wikipedia ; Translate ; Share ; TTS support (read aloud) ; DRM support ; Export to iTunes 
