Dataset Name ; Brief description ; Preprocessing ; Instances ; Format ; Default Task ; Created (updated) ; Reference ;Creator 
Visual Genome ;Images and their description ; ;108,000 ;images, text ;Image captioning ;2016 ;s2cid=4492210 ;R. Krishna et al. 
Berkeley 3-D Object Dataset ;849 images taken in 75 different scenes. About 50 different object classes are labeled. ;Object bounding boxes and labeling. ;849 ;labeled images, text ;Object recognition ;2014 ;Karayev, S., et al. "A category-level 3-D object dataset: putting the Kinect to work." Proceedings of the IEEE International Conference on Computer Vision Workshops. 2011.Tighe, Joseph, and Svetlana Lazebnik. "Superparsing: scalable nonparametric image parsing with superpixels." Computer Vision–ECCV 2010. Springer Berlin Heidelberg, 2010. 352–365. ;A. Janoch et al. 
Berkeley Segmentation Data Set and Benchmarks 500 (BSDS500) ;500 natural images, explicitly separated into disjoint train, validation and test subsets + benchmarking code. Based on BSDS300. ;Each image segmented by five different subjects on average. ;500 ;Segmented images ;Contour detection and hierarchical image segmentation ;2011 ;s2cid=206764694 ;University of California, Berkeley 
Microsoft Common Objects in Context (COCO) ;complex everyday scenes of common objects in their natural context. ;Object highlighting, labeling, and classification into 91 object types. ;2,500,000 ;Labeled images, text ;Object recognition ;2015 ;Lin, Tsung-Yi, et al. "Microsoft coco: Common objects in context." Computer Vision–ECCV 2014. Springer International Publishing, 2014. 740–755. s2cid = 2930547  ;T. Lin et al. 
SUN Database ;Very large scene and object recognition database. ;Places and objects are labeled. Objects are segmented. ;131,067 ;Images, text ;Object recognition, scene recognition ;2014 ;Xiao, Jianxiong, et al. "Sun database: Large-scale scene recognition from abbey to zoo." Computer vision and pattern recognition (CVPR), 2010 IEEE conference on. IEEE, 2010.year=2013 ;J. Xiao et al. 
ImageNet ;Labeled object image database, used in the ImageNet Large Scale Visual Recognition Challenge ;Labeled objects, bounding boxes, descriptive words, SIFT features  ;14,197,122 ;Images, text ;Object recognition, scene recognition ;2009 (2014) ;Deng, Jia, et al. "Imagenet: A large-scale hierarchical image database."Computer Vision and Pattern Recognition, 2009. CVPR 2009. IEEE Conference on. IEEE, 2009.s2cid=2930547 ;J. Deng et al. 
Open Images ;A Large set of images listed as having CC BY 2.0 license with image-level labels and bounding boxes spanning thousands of classes. ;Image-level labels, Bounding boxes ;9,178,275 ;Images, text ;Classification, Object recognition ;2017 ;Ivan Krasin, Tom Duerig, Neil Alldrin, Andreas Veit, Sami Abu-El-Haija, Serge Belongie, David Cai, Zheyun Feng, Vittorio Ferrari, Victor Gomes, Abhinav Gupta, Dhyanesh Narayanan, Chen Sun, Gal Chechik, Kevin Murphy. "OpenImages: A public dataset for large-scale multi-label and multi-class image classification, 2017. Available from ." ; 
TV News Channel Commercial Detection Dataset ;TV commercials and news broadcasts. ;Audio and video features extracted from still images. ;129,685 ;Text ;Clustering, classification ;2015 ;Vyas, Apoorv, et al. "Commercial Block Detection in Broadcast News Videos." Proceedings of the 2014 Indian Conference on Computer Vision Graphics and Image Processing. ACM, 2014.Hauptmann, Alexander G., and Michael J. Witbrock. "Story segmentation and detection of commercials in broadcast news video." Research and Technology Advances in Digital Libraries, 1998. ADL 98. Proceedings. IEEE International Forum on. IEEE, 1998. ;P. Guha et al. 
Statlog (Image Segmentation) Dataset ;The instances were drawn randomly from a database of 7 outdoor images and hand-segmented to create a classification for every pixel. ;Many features calculated. ;2310 ;Text ;Classification ;1990 ;Tung, Anthony KH, Xin Xu, and Beng Chin Ooi. "Curler: finding and visualizing nonlinear correlation clusters." Proceedings of the 2005 ACM SIGMOD international conference on Management of data. ACM, 2005. ;University of Massachusetts 
Caltech 101 ;Pictures of objects. ;Detailed object outlines marked. ;9146 ;Images ;Classification, object recognition. ;2003 ;Jarrett, Kevin, et al. "What is the best multi-stage architecture for object recognition?." Computer Vision, 2009 IEEE 12th International Conference on. IEEE, 2009.Lazebnik, Svetlana, Cordelia Schmid, and Jean Ponce. "Beyond bags of features: Spatial pyramid matching for recognizing natural scene categories."Computer Vision and Pattern Recognition, 2006 IEEE Computer Society Conference on. Vol. 2. IEEE, 2006. ;F. Li et al. 
