 Mail server ; SMTP AUTH ; POP before SMTP ; APOP ; File System ; Database ; LDAP ; Native Anti Hammer - Brute-force attack protection ; Other 
rh| agorum core ; yes ; no ; no ; no ; yes ; yes ; dunno ; PLAIN, LOGIN, CRAM-MD5CRAM-MD5 to Historic, 20 November 2008., NTLM 
rh| Apache James ; yes ; dunno ; dunno ; dunno ; yes ; yes ; dunno ; PLAIN, LOGIN 
rh| Axigen ; yes ; no ; yes ; yes ; no ; yes ; no ; GSSAPI, CRAM-MD5, DIGEST-MD5Moving DIGEST-MD5 to Historic, July 2011., APOP, CLRTXT, LOGIN, PLAIN, LDAP, Internal 
rh| CommuniGate Pro ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; Active Directory (LDAP), CLRTXT, CRAM-MD5, DIGEST-MD5, APOP, GSSAPI, NTLM, MSN, SESSIONID, External Authentication Plug-in. Also supports X.509 PKI auth via STARTTLS/SSL 
rh| Courier Mail Server ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; Managed by Courier authentication library which can use PAM, Userdb, PostgreSQL(beta), MySQL, LDAP, and EXTERNAL. 
rh| Cyrus IMAP ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; Supports X.509 PKI auth via STARTTLS and EXTERNAL. Uses Cyrus SASL authentication library for support for other mechanisms: Berkeley DB, GDBM, or NDBM (sasldb), PAM, MySQL, PostgreSQL, SQLite, LDAP, Active Directory(LDAP), DCE, Kerberos 4 and 5, proxied IMAP auth, getpwent, shadow, SIA, Courier Authdaemon, httpform, APOP and SASL mechanisms: ANONYMOUS, CRAM-MD5, DIGEST-MD5, SCRAM-SHA-1(-PLUS), SCRAM-SHA-224(-PLUS), SCRAM-SHA-256(-PLUS), SCRAM-SHA-384(-PLUS), SCRAM-SHA-512(-PLUS), EXTERNAL, GSSAPI, LOGIN, NTLM, OTP, PASSDSS, PLAIN, SRP 
rh| Dovecot ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; Submission service supports SMTP AUTH. Offers SASL to MTAs. POP-before-SMTP via DRAC plugin. PAM, MySQL, PostgreSQL, SQLite, LDAP, Active Directory(LDAP), Kerberos 5, proxied IMAP auth, getpwent, shadow, SIA, BSDauth, Vpopmail. APOP and SASL mechanisms: ANONYMOUS, PLAIN, LOGIN, CRAM-MD5, DIGEST-MD5, SCRAM-SHA-1, EXTERNAL, GSSAPI, NTLM, OTP, SKEY, RPA. 
rh| Eudora Internet Mail Server ; yes ; no ; yes ; yes ; no ; no ; yes ; CRAM-MD5, DIGEST-MD5, PLAIN, LOGIN 
rh| Exim ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; Cyrus SASL, Dovecot SASL, GNU SASL, CRAM-MD5, Heimdal GSSAPI, PLAIN, LOGIN, SPA 
rh| FirstClass ; yes ; dunno ; dunno ; yes ; yes ; yes ; dunno ;  
rh| Gordano Messaging Suite ; yes ; yes ; yes ; no ; yes ; yes ; dunno ; PLAIN, LOGIN, CRAM-MD5, DIGEST-MD5, APOP, ODBC, Active Directory, NT Domain  
rh| GroupWise ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; eDirectory, Any LDAPv3-compliant source 
rh| Halon ; yes ; no ; no ; yes ; yes ; yes ; dunno ; Many mechanism (SMTP callout, Dovecot SASL, REST, etc.) via script. 
rh| Haraka ; yes ; no ; no ; yes ; yes ; yes ; dunno ; Proxy to other server, any other mechanism via AUTH plugins. 
rh| IceWarp Mail Server ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; PLAIN, LOGIN, CRAM-MD5, NTLM 
rh| Ipswitch IMail Server ; yes ; no ; yes ; yes ; yes ; yes ; yes ; Active Directory, Windows authentication, CRAM-MD5, PLAIN, LOGIN 
rh| Kolab ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; Kolab employs Cyrus and Postfix and thus supports all Cyrus SASL authentication methods and X.509 PKI auth via STARTTLS and EXTERNAL. 
rh| Mailsite ; yes ; no ; yes ; yes ; yes ; yes ; dunno ; NT Domain, Active Directory, PLAIN, LOGIN, NTLM, SCRAM-MD5, CRAM-MD5 
rh| Mailtraq ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; NT Domain, Active Directory, Local Directory 
rh| MDaemon ; yes ; no ; yes ; no ; no ; yes ; yes ;  
rh| Mercury Mail Transport System ; yes ; yes ; yes ; yes ; no ; dunno ; dunno ; Internal, LOGIN, PLAIN, CRAM-MD5, Netware, LDAP?, partial NT Domain 
rh| Microsoft Exchange Server ; yes ; dunno ; yes ; no ; no ; yes ; yes ; Active Directory, LOGIN, NTLM 
rh| NetMail ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; eDirectory, LDAP 
rh| Oracle Communications Messaging Server ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; Plain, Login, CRAM-MD5, DIGEST-MD5, Certificate 
rh| OpenSMTPD ; yes ; no ; no ; yes ; yes ; yes ; dunno ; By default PLAIN and LOGIN over SSL only, Certificates, bsd_auth and PAM. Supports adding new authentication mechanisms through custom backends. 
rh| Postfix ; yes ; no ; no ; yes ; yes ; yes ; Yes ; Supports all Cyrus SASL authentication methods except for APOP. 
rh| Qpopper ; no ; yes ; yes ; yes ; yes ; yes ; dunno ; Pluggable Authentication Modules, GSSAPI, CRAM-MD5, DIGEST-MD5, APOP, PLAIN, LDAP, CMU SASL library, Kerberos 
rh| qmail ; with patch ; with vpopmail ; yes ; yes ; yes ; yes ; dunno ; Works with any checkpassword utility. The original supports only LOGIN and PLAIN. Alternate checkpassword utilities support authentication against PAM, LDAP, and databases. 
rh| Scalix ; yes ; dunno ; yes ; yes ; yes ; yes ; dunno ; Internal, LOGIN, PLAIN, X.500 (DAP), LDAP, OpenLDAP, Active Directory, eDirectory, Kerberos, etc. 
rh| Sendmail ; yes ; yes ; no ; yes ; yes ; yes ; dunno ; Supports all Cyrus SASL authentication methods except for APOP. Also supports X.509 PKI auth via STARTTLS and EXTERNAL. 
rh| WinGate ; yes ; yes ; yes ; yes ; yes ; no ; dunno ; NT Domain, Active Directory, CRAM-MD5, SASL PLAIN, SASL LOGIN 
rh| Zarafa ; yes ; no ; no ; yes ; yes ; yes ; dunno ; PLAIN, LOGIN using internal backends: Internal, Active Directory, any LDAP-compatible source, Unix 
rh| Zentyal ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; Active Directory using Dovecot SASL mechanisms 
rh| Zimbra ; yes ; no ; yes ; yes ; yes ; yes ; dunno ; Internal, LDAP, Open LDAP, Active Directory 
 Mail server ; SMTP AUTH ; POP before SMTP ; APOP ; File System ; Database ; LDAP ; Native Anti Hammer - Brute-force attack protection ; Other 
