 ; Creator ; Development started ; First public release ;Latest stable version ; Stable release date ;Cost (USD) ; License ; Notes 
 ADMB ; David Fournier, ADMB Project ; 1989 ; 1990 ; 12.0 ; 21 December 2017 ; free ; BSD 3-clause (aka new) License ; Automatic differentiation makes it well suited to complex minimization problems 
 Analytica ; Lumina Decision Systems ; 1982 (Demos) ;  ; 4.6 ; May 2015 ; Free (Analytica Free 101), $995 (Professional),  $2795 (Enterprise) ; Proprietary ; A numerical modeling environment with a declarative and visual programming language based on influence diagrams. 
 Ch ; SoftIntegration ; ;1 October 2001 ; 7.5.1 ; 2 December 2015 ; $399 (commercial) / $199 (academic) / Free (student) ; Proprietary ; C/C++ based numerical computing and graphical plottingCh Scientific Numerical Computing 
 DADiSP  ; DSP Development ; 1984 ; 1987 ; 6.7 B02 ; 17 January 2017 ; $1995 (commercial) / $129 (academic) / Free (student) ; Proprietary ; Numeric computations for science and engineering featuring a spreadsheet like interface. 
 Dyalog APL ; Dyalog Ltd. ; 1981 ; 1983 ; 18.0 ; 10 June 2020 ; Not free (commercial) / Free (non-commercial) ; Proprietary ; A modern dialect of APL, enhanced with features for functional and object-oriented programming. 
 Euler Math Toolbox ; René Grothmann ; 1987 ; 1988 ; 2020-08-21 ; 21 August 2020 ; free ; GPL ; Also a computer algebra system through interface with Maxima 
 Fityk ; Marcin Wojdyr ; ; 2002 ; 1.3.1 ; 19 December 2016 ; $115 (1.x binaries) / Free (source code and 0.x binaries) ; GPL ; interactive graphics, scriptable, specialized in curve fitting and peak fitting, 2D only 
FlexPro ;Weisang GmbH ;n/a ;1991 ;2017 ;2017 ; Not free (commercial) / Free (academic) ;Proprietary ;Dynamic, interactive 2D/3D diagrams, programmable, VBA, high performances, multicore compatible, large data sets. 
 FreeMat ; Samit Basu ; ; 2004 ; 4.2 ; 30 June 2013 ; free ; GPL ; Codeless interface to external C, C++, and Fortran code.  Mostly compatible with MATLAB. 
 GAUSS ; Aptech Systems ; ; 1984 ; 19 ; 01 January 2019 ; Not free ; Proprietary ;  
 GNU Data Language ; Marc Schellens ; ; 2004 ; 0.9.7 ; 21 January 2017 ; free ; GPL ; Aimed as a drop-in replacement for IDL/PV-WAVE 
 IBM SPSS Statistics ; Norman H. Nie, Dale H. Bent, and C. Hadlai Hull ;  ; 1968 ; 23.0 ; 3 March 2015 ; Not free ; Proprietary ; Primarily for statistics 
 GNU MCSim ; Frederic Y. Bois & Don Maszle ; 1991 ; 1993 ; 6.0.0 ; 24 February 2018 ; free ; GPL ; General simulation and Monte Carlo sampling software 
 GNU Octave ; John W. Eaton ; 1988 ; 1993 ; 5.2.0 ; 3 February 2020 ; free ; GPL ; General numerical computing package with many extension modules. Syntax mostly compatible with MATLAB 
 IGOR Pro ; WaveMetrics ; 1986 ; 1988 ; 8.00 ; May 22, 2018 ; $995 (commercial) $225 upgrade / $499 (academic) $175 upgrade / $85 (student) ; Proprietary ; interactive graphics, programmable, 2D/3D, used for science and engineering, large data sets. 
 J ; Jsoftware ; 1989 ; 1990 ; J806 ; 12 November 2017 ; free ; GPL ; online access to: J Application Library (JAL) 
 Julia ; Jeff Bezanson, Stefan Karpinski, Viral B. Shah, and Alan Edelman ; 2009 ; 2012 ; 1.5.2 ; 24 September 2020 ; free ; MIT License ; A fast,"Julia in a Nutshell", from the official Julia homepage.  Accessed 2019-01-25.Sai K. Popuri and Matthias K. Gobbert. A Comparative Evaluation of Matlab, Octave, R, and Julia on Maya. Technical Report HPCF-2017-03, UMBC High Performance Computing Facility, University of Maryland, U.S.A., 2017. Accessed 2019-01-25.Jules Kouatchou, Basic Comparison of Python, Julia, Matlab, IDL and Java (2018 Edition) Version 74. NASA Modeling Guru, Technical Report DOC-2676. Created on: 05-Feb-2018. Last Modified:  14-Sep-2018Accessed 2019-01-25. high-level numerical computing language. Julia allows direct calls of C functions (no wrappers needed). Designed for cloud parallel computing with LLVM JIT as a backend. Lightweight "green" threading (coroutines). Efficient support for Unicode. Shell-like capabilities for managing other processes. Lisp-like macros and other metaprogramming facilities. 
 LabPlot ; Stefan Gerlach, Alexander Semke, KDE ; 2001 ; 2003 ; 2.7.0 ; 24 October 2019 ; free ; GPL ; 2D plotting, suitable for creation of publication-ready plots but also for data visualization and exploration, data import from many formats(ASCII, binary, HDF5, FITS, JSON, etc.), export to vector and raster images, data analysis (nonlinear curve fitting in 2D, FFT, smoothing, integration and differentiation, etc.), digitizing of raster images, live data plotting, support for different CAS like Maxima, Octave, R, etc.  
 LabVIEW ; National Instruments ; 1985 ; 1986 ; 2016 ; August 2016 ; $1249 (commercial) / $79.95 (student) ; Proprietary ; Graphical, and textual through formula nodes, mathscript and .m file scripts 
 Maple ; Maplesoft ; 1980 ; 1982 ; Latest stable software release/Maple ; 14 March 2019 ; $2390 (commercial) / $239 (personal) / $99 (student) ; Proprietary ; Mainly a computer algebra system 
