Dataset Name ; Brief description ; Preprocessing ; Instances ; Format ; Default Task ; Created (updated) ; Reference ;Creator 
 Web of Science Dataset ; Hierarchical Datasets for Text Classification ;None. ;46,985 ;Text ;Classification, Categorization ;2017 ; K. Kowsari, D. E. Brown, M. Heidarysafa, K. Jafari Meimandi, M. S. Gerber and L. E. Barnes, "HDLTex: Hierarchical Deep Learning for Text Classification", 2017 16th IEEE International Conference on Machine Learning and Applications (ICMLA), pp. 364-371. doi: 10.1109/ICMLA.2017.0-134K. Kowsari, D. E. Brown, M. Heidarysafa, K. Jafari Meimandi, M. S. Gerber and L. E. Barnes, "Web of Science Dataset",  10.17632/9rw3vkcfy4.6 ;K. Kowsari et al. 
Legal Case Reports ;Federal Court of Australia cases from 2006 to 2009. ;None. ;4,000 ;Text ;Summarization, citation analysis ;2012 ;Galgani, Filippo, Paul Compton, and Achim Hoffmann. "Combining different summarization techniques for legal text." Proceedings of the Workshop on Innovative Hybrid Approaches to the Processing of Textual Data. Association for Computational Linguistics, 2012. doi-access = free  ;F. Galgani et al. 
Blogger Authorship Corpus ;Blog entries of 19,320 people from blogger.com. ;Blogger self-provided gender, age, industry, and astrological sign. ;681,288 ;Text ;Sentiment analysis, summarization, classification ;2006 ; year = 2006 Anand, Pranav, et al. "Believe Me-We Can Do This! Annotating Persuasive Acts in Blog Text."Computational Models of Natural Argument. 2011. ;J. Schler et al. 
Social Structure of Facebook Networks ;Large dataset of the social structure of Facebook. ;None. ;100 colleges covered ;Text ;Network analysis, clustering ;2012 ;Traud, Amanda L., Peter J. Mucha, and Mason A. Porter. "Social structure of Facebook networks." Physica A: Statistical Mechanics and its Applications391.16 (2012): 4165–4180.year=2012 ;A. Traud et al. 
Dataset for the Machine Comprehension of Text ;Stories and associated questions for testing comprehension of text. ;None. ;660 ;Text ;Natural language processing, machine comprehension ;2013 ; year = 2013 year=2015 ;M. Richardson et al. 
The Penn Treebank Project ;Naturally occurring text annotated for linguistic structure. ;Text is parsed into semantic trees. ;~ 1M words ;Text ;Natural language processing, summarization ;1995 ; pages = 313–330  doi-access = free  ;M. Marcus et al. 
DEXTER Dataset ;Task given is to determine, from features given, which articles are about corporate acquisitions. ;Features extracted include word stems. Distractor features included. ;2600 ;Text ;Classification ;2008 ;Guyon, Isabelle, et al., eds. Feature extraction: foundations and applications. Vol. 207. Springer, 2008. ;Reuters 
Google Books N-grams ;N-gram from a very large corpus of books ;None. ;2.2 TB of text ;Text ;Classification, clustering, regression ;2011 ;Lin, Yuri, et al. "Syntactic annotations for the google books ngram corpus." Proceedings of the ACL 2012 system demonstrations. Association for Computational Linguistics, 2012. year = 2013  ;Google 
Personae Corpus ;Collected for experiments in Authorship Attribution and Personality Prediction. Consists of 145 Dutch-language essays. ;In addition to normal texts, syntactically annotated texts are given. ;145 ;Text ;Classification, regression ;2008 ;Luyckx, Kim, and Walter Daelemans. "Personae: a Corpus for Author and Personality Prediction from Text." LREC. 2008.Solorio, Thamar, Ragib Hasan, and Mainul Mizan. "A case study of sockpuppet detection in wikipedia." Workshop on Language Analysis in Social Media (LASM) at NAACL HLT. 2013. ;K. Luyckx et al. 
CNAE-9 Dataset ;Categorization task for free text descriptions of Brazilian companies. ;Word frequency has been extracted. ;1080 ;Text ;Classification ;2012 ;Ciarelli, Patrick Marques, and Elias Oliveira. "Agglomeration and elimination of terms for dimensionality reduction." Intelligent Systems Design and Applications, 2009. ISDA'09. Ninth International Conference on. IEEE, 2009.Zhou, Mingyuan, Oscar Hernan Madrid Padilla, and James G. Scott. "Priors for random count matrices derived from a family of negative binomial processes." Journal of the American Statistical Association just-accepted (2015): 00–00. ;P. Ciarelli et al. 
Sentiment Labeled Sentences Dataset ;3000 sentiment labeled sentences. ;Sentiment of each sentence has been hand labeled as positive or negative. ;3000 ;Text ;Classification, sentiment analysis ;2015 ;Kotzias, Dimitrios, et al. "From group to individual labels using deep features." Proceedings of the 21th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining. ACM, 2015.year=2016 ;D. Kotzias 
BlogFeedback Dataset ;Dataset to predict the number of comments a post will receive based on features of that post. ;Many features of each post extracted. ;60,021 ;Text ;Regression ;2014 ;Buza, Krisztian. "Feedback prediction for blogs."Data analysis, machine learning and knowledge discovery. Springer International Publishing, 2014. 145–152. doi=10.1016/j.eswa.2014.10.049 ;K. Buza 
Stanford Natural Language Inference (SNLI) Corpus ;Image captions matched with newly constructed sentences to form entailment, contradiction, or neutral pairs. ;Entailment class labels, syntactic parsing by the Stanford PCFG parser ;570,000 ;Text ;Natural language inference/recognizing textual entailment ;2015 ;Bowman, Samuel, et al. "A large annotated corpus for learning natural language inference." Proceedings of the 2015 Conference on Empirical Methods in Natural Language Processing (EMNLP). ACL, 2015. ;S. Bowman et al. 
