 Format name ; Operating system ; Filename extension ; Explicit processor declarations ; Arbitrary sections ; Metadataname=metadata ; Digital signature ; String table ; Symbol table ; 64-bit ; Fat binaries ; Can contain icon 
 OS/360 ; OS/360 and successors, and VS/9, mainframe operating systems ; none ; No ; No ; No ; No ; No ; Yes ; Yes ; No ; No 
 GOFF  ; IBM MVS and z/OS mainframe operating systems ; none ; No ; No ; Yes ; No ; Yes ; Yes ; Yes ; No ; No 
 a.out ; Unix-like ; none ; No ; No ; No ; No ; Yes ; Yes ; Extension ; No ; No 
 COFF ; Unix-like ; none ; Yes by file ; Yes ; No ; No ; Yes ; Yes ; Extension ; No ; No 
 ECOFF ; Ultrix, Tru64&nbsp,UNIX, IRIX ; none ; Yes by file ; Yes ; No ; No ; Yes ; Yes ; Yes ; No ; No 
 XCOFF ; IBM&nbsp,AIX, BeOS, "classic" MacOS ; none ; Yes by file ; Yes ; No ; No ; Yes ; Yes ; Yes ; No ; No 
 ELF ; Unix-like, OpenVMS, BeOS from R4 onwards, Haiku ; none ; Yes by file ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Extension ; Extension 
 Mach-O ; NeXTSTEP, macOS, iOS, watchOS, tvOS ; none ; Yes by section ; Some (limited to max. 256 sections) ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; No 
 SOM ; HP-UX, MPE/ix ; dunno ; unk ; unk ; No ; No ; unk ; Yes ; No ; unk ; No 
 Amiga Hunk ; AmigaOS ; none ; No ; Yes ; Yes ; No ; No ; Yes ; No ; Yes ; No 
 PEF ; "classic" MacOS, BeOS (PPC only) ; none ; Yes by file ; No ; No ; No ; Yes ; Yes ; No ; No ; No 
 CMD ; CP/M-86, MP/M-86, Concurrent&nbsp,CP/M-86, Personal&nbsp,CP/M-86, S5-DOS, Concurrent&nbsp,DOS, Concurrent&nbsp,DOS&nbsp,286, FlexOS, S5-DOS/ST, S5-DOS/MT, Concurrent&nbsp,DOS&nbsp,386, Multiuser&nbsp,DOS, SystemManager, REAL/32, DOS&nbsp,Plus ; .CMD ; No (x86 only) ; Yes ; No ; No ; Extension ; Extension ; No ; No ; No 
 FlexOS 186 ; FlexOS&nbsp,186, FlexOS&nbsp,286, S5-DOS/ST, S5-DOS/MT, 4680&nbsp,OS, FlexOS&nbsp,386, 4690&nbsp,OS ; .186 ; No (186/188 and higher only) ; Yes ; No ; No ; Extension ; Extension ; No ; No ; No 
 FlexOS 286 ; FlexOS&nbsp,286, S5-DOS/ST, S5-DOS/MT, 4680&nbsp,OS, FlexOS&nbsp,386, 4690&nbsp,OS ; .286 ; No (286 and higher only) ; Yes ; No ; No ; Extension ; Extension ; No ; No ; No 
 CP/M-68K ; CP/M-68K, Concurrent&nbsp,DOS&nbsp,68K, FlexOS&nbsp,68K ; .68K ; No (68000 and higher only) ; Yes ; No ; No ; unk ; unk ; No ; No ; No 
 COM (CP/M) ; CP/M, MP/M, Concurrent&nbsp,CP/M, Personal&nbsp,CP/M ; .COM ; No (8080/Z80 only) ; Extension (BDOS 3 and higher only) ; No ; No ; No ; No ; No ; Extension ; No 
 COM (DOS) ; DOS, OS/2, Windows (except for 64-bit editions), Concurrent&nbsp,CP/M-86 (BDOS 3.1 only), Concurrent&nbsp,DOS, Concurrent&nbsp,DOS&nbsp,286, FlexOS, Concurrent&nbsp,DOS&nbsp,386, Multiuser&nbsp,DOS, SystemManager, REAL/32, DOS&nbsp,Plus ; .COM ; No (x86 only) ; No ; Extension (Novell/Caldera VERSION etc.) ; No ; No ; No ; Extension ; Extension ; No 
 MZ (DOS) ; DOS, OS/2, Windows (except for 64-bit editions), Concurrent&nbsp,DOS&nbsp,286, FlexOS, Concurrent&nbsp,DOS&nbsp,386, Multiuser&nbsp,DOS, SystemManager, REAL/32, DOS&nbsp,Plus ; .EXE ; No (x86 only) ; Yes ; Extension(Novell/Caldera VERSION etc.) ; No ; Extension ; Extension ; Extension ; No ; No 
 MZ (GEM) ; GEM, ViewMAX ; .APP/.ACC ; No (x86 only) ; Yes ; No ; No ; unk ; unk ; No ; No ; unk 
 NE ; MS-DOS 4.0 (multitasking), OS/2, Windows, HX&nbsp,DOS&nbsp,Extender ; .EXE ; unk ; unk ; unk ; No ; unk ; unk ; No ; No ; Yes 
 LE, (W3, W4) ; OS/2 (2.0 and higher only), some DOS extender ; .EXE ; Yes by file (286 and higher only) ; Yes ; Yes ; No ; Yes ; Yes ; No ; No ; Yes 
 LX ; OS/2 (2.0 and higher only), some 32-bit DOS extender ; .EXE ; Yes by file ; Yes ; Yes ; No ; Yes ; Yes ; No ; No ; Yes 
 PE ; Windows, ReactOS, HX&nbsp,DOS&nbsp,Extender, BeOS (R3 only) ; .EXE ; Yes by file ; Yes ; Yes ; Yes ; Yes ; Yes ; No ; No ; Yes 
 PE32+ ; Windows (64-bit editions only) ; .EXE ; Yes by file ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes 
 PIM/XIP ; PalmDOS (MINIMAX applications only) ; .PIM/.XIP ; No (x86 only) ; Yes ; No ; No ; No ; No ; No ; No ; No 
 DL ; MS-DOS SystemManager applications (HP LX series only) ; .EXM ; No (186/188 and higher only) ; Yes ; No ; No ; No ; No ; No ; No ; No 
 MP ; PharLap DOS extender ; .EXP ; unk (286 and higher only) ; Yes ; No ; No ; unk ; unk ; No ; No ; No 
 P2 ; PharLap 16-bit DOS extender ; .EXP ; unk (286 and higher only) ; Yes ; No ; No ; unk ; unk ; No ; No ; No 
 P3 ; PharLap 32-bit DOS extender ; .EXP ; unk (386 and higher only) ; Yes ; No ; No ; unk ; unk ; No ; No ; No 
 GEOS ; PC/GEOS, Geoworks&nbsp,Ensemble, NewDeal&nbsp,Office, Breadbox&nbsp,Ensemble ; .GEO ; unk (x86 only) ; unk ; unk ; No ; unk ; unk ; No ; No ; unk 
