 Engine ; Origin ; Designer ; Vehicle ;Status ; Use ; Propellant ; Specific impulse (s)At sea level if denoted SL, in vacuum otherwise ; Thrust (N)name=VSL ; Mass (kg) ; Thrust:zwspweight ratioWeight is calculated at standard gravity. ; Chamber pressure (bar) ; Oxidiser:zwspfuel ratio  
 Aeon 1 ; USA ; Relativity Space ; Terran 1  ; Development ; 1st ; CH4/LOX ; 310 ; 86,740 (SL) ; ; ; ;  
 Aeon 1 Vacuum ; USA ; Relativity Space ; Terran 1  ; Development ; 2nd ; CH4/LOX ; 360 ; 100,085 (SL) ; ; ; ;  
AJ-10-190 ;USA ;Aerojet ;Space Shuttle Orion ;Active ;Upper ;N2O4/MMH ;316 ;26689 ;118 ;23.08 ;8.62 ; 
 AJ-60A ; USA ; Aerojet ; Atlas V ; Active ; Booster ;HTPB ; 275 ; 1,270,000{{cite web|title=Atlas V Solid Rocket Motor|url= Rocketdyne|accessdate=2015-06-02|archive-url= ; ; ; ; 
 AR1 ; USA ; Aerojet Rocketdyne ; Beta (potential)website=Global Newswire ;Development ; 1st ; RP-1/LOX ; ; 2,200,000 (SL) ; ; ; ; 2.72 
 BE-3 ; USA ; Blue Origin ; New Shepard ; Active ; 1st ; LH2/LOX ; ; 490,000 ; ; ; ; 
 BE-3U ; USA ; Blue Origin ; New Glenn ; Development ; 2nd ; LH2/LOX ; ; 710,000 ; ; ; ; 
 BE-4 ; USA ; Blue Origin ; New GlennVulcan ; Development ; 1st ; CH4/LOX ; ; 2,400,000date=2014-09-17  ; ; ; 134accessdate=2016-03-09  ; 
 CE-20 ; IND ; LPSC ; GSLV Mk III ; Active ; Upper ; LH2/LOX ; 443 ; 200,000 ; 588 ; 34.7 ; 60.00 ; 5.05 
 CE-7.5 ; IND ; LPSC ; GSLV Mk II  ; Active ; Upper ; LH2/LOX ; 454 ; 73,500 ; 445 ; 16.85 ; 58 ; 
 Engine-2 ; USA ; Launcher Space ; Rocket-1 ; Development ; 1st ; RP-1 / LOX ; 327{{Cite web|url=  290 (SL) ; 100,000 ; ; ; ; 2.62 
 Engine-2 Vacuum ; USA ; Launcher Space ; Rocket-1 ; Development ; 2nd ; RP-1 / LOX ; 365 ; 100,000 ; ; ; ; 2.62 
