Name ;License ;Cost ;OS X ;Unix-like ;Windows ;Audio ;Images ;Video ;Transcoding ;Web Interface ;DLNA support ;MultilingualFor example, multilingual isn't supported if char 'Й' isn't displayed correctly on movie filename on the client device. ;Implementation ;SubtitlesFor example, subtitles are not supported if they only work with few renderers. ;Still Supported ;Misc. 
360 Media Server ;GPL ;Free ;No ;Yes ;Yes ;Yes ;No ;No ;Yes ;Yes ;unknown ;unknown ;Java ;unknown ;No ; 
ALLMediaServerALLMediaServer site ;GPL ;Trialware ;No ;No ;Yes ;Yes ;Yes ;Yes ;Yes ;No ;Yes ;Yes ;Delphi/Python ;Yes ;Yes ; 
ArkMS ;Prop. ;nonfree ;Yes ;No ;No ;Yes ;Yes ;Yes ;No ;Yes ;Yes ;unknown ;C++ ;Yes ;Yes ; 
aVia Media Player ;Prop. ;Free ;No ;No ;No ;Yes ;Yes ;Yes ;Yes ;No ;Yes ;unknown ;Java ;unknown ;Yes ; 
BRisa ;MIT ;Free ;PartialPython or external packages are required. ;Partial ;No ;Yes ;Yes ;Yes ;YesWork in progress ;Yes ;unknown ;unknown ;Python ;unknown ;unknown ; 
Coherence ;MIT ;Free ;Partial ;Partial ;Partial ;Yes ;Yes ;Yes ;YesAudio: using gstreamer, Video: work in progress ;YesWork in progress ;Yes ;unknown ;Python ;unknown ;No ; 
DivX ;Prop. ;Free ;Yes ;No ;Yes ;Yes ;Yes ;Yes ;Yes ;No ;Yes ;Yes ;C++ ;unknown ;Yes ; 
Elgato Eyeconnect ;Prop. ;nonfree ;Yes ;No ;No ;Yes ;Yes ;Yes ;No ;No ;unknown ;Yes ;unknown ;unknown ;No ; 
Foobar2000With foo_upnp plugin ;Prop. ;Free ;No ;No ;Yes ;Yes ;No ;No ;Yes ;No ;unknown ;unknown ;C++ ;unknown ;Yes ; 
FUPPES ;GPL ;Free ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Partial ;unknown ;C++ ;unknown ;No ; 
GeeXboX uShare ;GPL ;Free ;No ;YesGeeXboX is provided as its own Linux distribution ;No ;Yes ;Yes ;Yes ;No ;Yes ;Yes ;unknown ;C ;unknown ;No ; 
Gmediaserver ;GPL ;Free ;No ;Yes ;No ;Yes ;No ;Yes ;No ;No ;unknown ;unknown ;C ;unknown ;No ; 
Home Media CenterHome Media Center site ;GPLv2 ;Free ;No ;No ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;.NET 4 ;Yes ;Yes ; 
iSedora Media Server ;Prop. ;nonfree ;Yes ;No ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;unknown ;Objective C / C++ / JavaScript ;unknown ;Yes ; 
Jamcast ;Prop. ;free ;No ;No ;Yes ;Yes ;Yes ;No ;Yes ;No ;Yes ;unknown ;C++ / C# / Java ;unknown ;Yes ; 
JRiver Media Center ;Prop. ;nonfree ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;C++ ;Yes ;Yes ; 
Kodi (formerly XBMC) ;GPL ;Free ;Yes ;Yes ;Yes ;Yes ;Yes This feature is not in the latest stable release of XBMC but is available in the latest nightly releases. ;Yes ;No ;Yes ;Yes ;Yes ;C++ ;Yes ;Yes ; 
