 Family ; Country ; manufacturer ; Payload (kg) ; Payload (kg) ; Payload (kg) ; Cost (US$, millions) ; Launches reaching... ; Launches reaching... ; Launches reaching... ; Launches reaching... ; Status ; Date of flight ; Date of flight ; Notes ; Refs 
 Family ; Country ; manufacturer ; LEO ; GTO ; TLI ; Cost (US$, millions) ; Total ; Space ; Any orbit ; Target orbit ; Status ; First ; Last ; Notes ; Refs 
 Alpha ; USA  UKR ; Firefly Aerospace ; 1000 ; n/a ; n/a ; -- ; 0 ; 0 ; 0 ; 0 ; Development, in ; 2020 ; 1E308 ; ; {{cite news |url= ;OfferingFreeLaunchForResearchandEducationPayloads|last=Clark |first=Steven |date=18 June 2019 |work=SpaceFlightNow |access-date=19 June 2019}} 
 Angara 1.2 ; RUS ; Khrunichev ; 3800 ; -- ; -- ; 25 ; 0 ; 0 ; 0 ; n/a ; Active ; 2014 ; 1E308 ;As of May 2020, only launch was a suborbital test in 2014.Peter B. de Selding, "Russia's Angara 1.2 Rocket Succeeds in Inaugural Flight, Khrunichev Says", Space News, Jul. 9, 2014 (accessed 22 Sept 2014) ; The market for launching small satellite in Russia...  
 Angara A5 ; RUS ; Khrunichev ; 14600–zwsp35,000 ; 3600–zwsp12,500 ; -- ; -- ; 1 ; 1 ; 1 ; 1 ; Active ; 2014 ; 1E308 ; ;  Angara-5 takes to the sky 
 Antares ; USA ; Orbital ATK ; 6500 ; -- ; -- ; 80 ; 12Number of Antares launches current as of 15 February, 2020. ; 11 ; 11 ; 11 ; Active ; 2013 ; 1E308 ; Cygnus launcher.Variants: 110, 120, 130, 230, 230+ ; 
 Ariane 1-2-3 ; EU ; Aérospatiale ; n/a ; 2650 ; n/a ; -- ; 28 ; ; ; ; Retired ; 1979 ; 1989 ; ; 
 Ariane 4 ; EU ; Aérospatiale ; 7000 ; 4720 ; n/a ; -- ; 116 ; ; ; ; Retired ; 1988 ; 2003 ; Variants: 40, 42P, 42L, 44P, 44L, 44LP ; 
 Ariane 5 ; EU ; Airbus ; 21000 ; 10735access-date=25 August 2016 ; n/a ; 165–zwsp220 ; 109Number of Ariane 5 launches current as of 15 August, 2020. ; 107 ; 107 ; 104 ; Active ; 1996 ; 1E308 ; Variants: G, G+, GS, ECA, ES. ; {{cite web ; title = Arianespace aims high in Asia-Pacific ; url =  ; publisher = Flightglobal ; accessdate = 1 June 2016 }}  
 Ariane 6 ; EU ; Airbus Safran ; 21650(A64 Variants) ; 11500+(A64 Variants) ; 8500(A64 Variants) ; 115 ; 0 ; 0 ; 0 ; 0 ; Development, in ; 2021  ; 1E308 ; Variants: Ariane 62, Ariane 64. ;  
 ASLV ; IND ; ISRO ; 150 ; -- ; -- ; -- ; 4 ; ; ; ; Retired ; 1987 ; 1994 ; ; 
 Astra Rocket ; USA ; Astra ; 50-zwsp150 (to SSO) ; n/a ; n/a ; -- ; 1Number of Astra launches current as of 12 September, 2020. ; 0 ; 0 ; 0 ; Active ; 2020 ; 1E308 ; 2 suborbital test launches in 2018. ; Astra scrubs DARPA launch challenge attempt. NASASpaceFlight.com 
 Athena I & II ; USA ; Lockheed ATK ; 2065 ; -- ; 295 ; -- ; 7 ; ; ; ; Retired ; 1995 ; 2001 ; Launch Lunar Prospector. ;  
 Atlas A-B-C-D-E-F-GAtlas I ; USA ; Lockheed ; 5900 ; 2340 ; -- ; -- ; 514 ; ; ; ; Retired ; 1957 ; 1997 ; Launch Mercury.Atlas or Centaur upper stage. ; 
 Atlas II ; USA ; Lockheed ; 8618 ; 3833 ; -- ; -- ; 63 ; 63 ; 63 ; ; Retired ; 1991 ; 2004 ; ;Spaceflight Now, Atlas IIAS (accessed 24 Sept 2014)Tariq Malik "Final Atlas 2 Rocket Orbits Classified U.S. Satellite", Space News, August 31, 2004 (Accessed 24 Sept 2014) 
 Atlas III ; USA ; Lockheed ; 10759 ; 4609 ; -- ; -- ; 6 ; 6 ; 6 ; ; Retired ; 2003 ; 2005 ; Variants: IIIA, IIIB ;Space Launch Report: Atlas III Data Sheet (accessed 24 Sept. 2014) 
 Atlas V ; USA ; ULA ; 18850 ; 8900 ; 2807 ; 109–zwsp153 ; 85Number of Atlas V launches current as of 30 July, 2020. ; 85 ; 85 ; 84 ; Active ; 2002 ; 1E308 ; Launched Juno & New Horizons ;  
 Beta ; USA  UKR ; Firefly Aerospace ; 4000 ; -- ; -- ; -- ; 0 ; 0 ; 0 ; 0 ; Development, in ; 2021 ; 1E308 ; ;  
 Black Arrow ; UK ; RAE Westland ; 132 ; -- ; -- ; -- ; 4 ; 3 ; ; ; Retired ; 1969 ; 1971 ; ; isbn=1-86094-268-7 
 Bloostar ; ESP ; Zero 2 Infinity ; 140 ; -- ; -- ; -- ; 0 ; 0 ; 0 ; 0 ; Development, in ;  ; 1E308 ; ;  
 Blue Whale 1 ; ROK ; Perigee Aerospace ; 50 (to SSO) ; -- ; -- ; -- ; 0 ; 0 ; 0 ; 0 ; Development, in ; 2020 ; 1E308 ; ;  
 Ceres-1 ; CHN ; Galactic Energy ; 350 ; -- ; -- ; -- ; 0 ; 0 ; 0 ; 0 ; Development, in ; 2020 ; 1E308 ; ;  
