Dataset Name ; Brief description ; Preprocessing ; Instances ; Format ; Default Task ; Created (updated) ; Reference ;Creator 
Wearable Computing: Classification of Body Postures and Movements (PUC-Rio) ;People performing five standard actions while wearing motion trackers. ;None. ;165,632 ;Text ;Classification ;2013 ;Ugulino, Wallace, et al. "Wearable computing: Accelerometers’ data classification of body postures and movements." Advances in Artificial Intelligence-SBIA 2012. Springer Berlin Heidelberg, 2012. 52–61. pmc = 4367401  ;Pontifical Catholic University of Rio de Janeiro 
Gesture Phase Segmentation Dataset ;Features extracted from video of people doing various gestures. ;Features extracted aim at studying gesture phase segmentation. ;9900 ;Text ;Classification, clustering ;2014 ;Madeo, Renata CB, Clodoaldo AM Lima, and Sarajane M. Peres. "Gesture unit segmentation using support vector machines: segmenting gestures from rest positions." Proceedings of the 28th Annual ACM Symposium on Applied Computing. ACM, 2013. doi=10.1142/s0218001415550083 ;R. Madeo et a 
Vicon Physical Action Data Set Dataset ;10 normal and 10 aggressive physical actions that measure the human activity tracked by a 3D tracker. ;Many parameters recorded by 3D tracker. ;3000 ;Text ;Classification ;2011 ;Theodoridis, Theodoros, and Huosheng Hu. "Action classification of 3d human models using dynamic ANNs for mobile robot surveillance."Robotics and Biomimetics, 2007. ROBIO 2007. IEEE International Conference on. IEEE, 2007.Etemad, Seyed Ali, and Ali Arya. "3D human action recognition and style transformation using resilient backpropagation neural networks." Intelligent Computing and Intelligent Systems, 2009. ICIS 2009. IEEE International Conference on. Vol. 4. IEEE, 2009. ;T. Theodoridis 
Daily and Sports Activities Dataset ;Motor sensor data for 19 daily and sports activities. ;Many sensors given, no preprocessing done on signals. ;9120 ;Text ;Classification ;2013 ; hdl-access = free  pmc = 3284320  ;B. Barshan et al. 
Human Activity Recognition Using Smartphones Dataset ;Gyroscope and accelerometer data from people wearing smartphones and performing normal actions. ;Actions performed are labeled, all signals preprocessed for noise. ;10,299 ;Text ;Classification ;2012 ;Anguita, Davide, et al. "Human activity recognition on smartphones using a multiclass hardware-friendly support vector machine." Ambient assisted living and home care. Springer Berlin Heidelberg, 2012. 216–223. doi=10.1109/tst.2014.6838194 ;J. Reyes-Ortiz et al. 
Australian Sign Language Signs ;Australian sign language signs captured by motion-tracking gloves. ;None. ;2565 ;Text ;Classification ;2002 ;Kadous, Mohammed Waleed. Temporal classification: Extending the classification paradigm to multivariate time series. Diss. The University of New South Wales, 2002.Graves, Alex, et al. "Connectionist temporal classification: labelling unsegmented sequence data with recurrent neural networks." Proceedings of the 23rd international conference on Machine learning. ACM, 2006. ;M. Kadous 
Weight Lifting Exercises monitored with Inertial Measurement Units ;Five variations of the biceps curl exercise monitored with IMUs. ;Some statistics calculated from raw data. ;39,242 ;Text ;Classification ;2013 ;Velloso, Eduardo, et al. "Qualitative activity recognition of weight lifting exercises."Proceedings of the 4th Augmented Human International Conference. ACM, 2013.Mortazavi, Bobak Jack, et al. "Determining the single best axis for exercise repetition recognition and counting on smartwatches." Wearable and Implantable Body Sensor Networks (BSN), 2014 11th International Conference on. IEEE, 2014. ;W. Ugulino et al. 
sEMG for Basic Hand movements Dataset ;Two databases of surface electromyographic signals of 6 hand movements. ;None. ;3000 ;Text ;Classification ;2014 ;Sapsanis, Christos, et al. "Improving EMG based Classification of basic hand movements using EMD." Engineering in Medicine and Biology Society (EMBC), 2013 35th Annual International Conference of the IEEE. IEEE, 2013. s2cid = 207174078  ;C. Sapsanis et al. 
REALDISP Activity Recognition Dataset ;Evaluate techniques dealing with the effects of sensor displacement in wearable activity recognition. ;None. ;1419 ;Text ;Classification ;2014 ; pmc=4118358 ;O. Banos et al. 
Heterogeneity Activity Recognition Dataset ;Data from multiple different smart devices for humans performing various activities. ;None. ;43,930,257 ;Text ;Classification, clustering ;2015 ;Stisen, Allan, et al. "Smart Devices are Different: Assessing and MitigatingMobile Sensing Heterogeneities for Activity Recognition."Proceedings of the 13th ACM Conference on Embedded Networked Sensor Systems. ACM, 2015.Bhattacharya, Sourav, and Nicholas D. Lane. "From Smart to Deep: Robust Activity Recognition on Smartwatches using Deep Learning." ;A. Stisen et al. 
Indoor User Movement Prediction from RSS Data ;Temporal wireless network data that can be used to track the movement of people in an office. ;None. ;13,197 ;Text ;Classification ;2016 ; hdl-access = free Palumbo, Filippo, et al. "Multisensor data fusion for activity recognition based on reservoir computing." Evaluating AAL systems through competitive benchmarking. Springer Berlin Heidelberg, 2013. 24-35. ;D. Bacciu 
PAMAP2 Physical Activity Monitoring Dataset ;18 different types of physical activities performed by 9 subjects wearing 3 IMUs. ;None. ;3,850,505 ;Text ;Classification ;2012 ;Reiss, Attila, and Didier Stricker. "Introducing a new benchmarked dataset for activity monitoring."Wearable Computers (ISWC), 2012 16th International Symposium on. IEEE, 2012. ;A. Reiss 
OPPORTUNITY Activity Recognition Dataset ;Human Activity Recognition from wearable, object, and ambient sensors is a dataset devised to benchmark human activity recognition algorithms. ;None. ;2551 ;Text ;Classification ;2012 ;Roggen, Daniel, et al. "OPPORTUNITY: Towards opportunistic activity and context recognition systems." World of Wireless, Mobile and Multimedia Networks & Workshops, 2009. WoWMoM 2009. IEEE International Symposium on a. IEEE, 2009.Kurz, Marc, et al. "Dynamic quantification of activity recognition capabilities in opportunistic systems." Vehicular Technology Conference (VTC Spring), 2011 IEEE 73rd. IEEE, 2011. ;D. Roggen et al. 
Real World Activity Recognition Dataset ;Human Activity Recognition from wearable devices. Distinguishes between seven on-body device positions and comprises six different kinds of sensors. ;None. ;3,150,000 (per sensor) ;Text ;Classification ;2016 ;Sztyler, Timo, and Heiner Stuckenschmidt. "On-body localization of wearable devices: an investigation of position-aware activity recognition." Pervasive Computing and Communications (PerCom), 2016 IEEE International Conference on. IEEE, 2016. ;T. Sztyler et al. 
Toronto Rehab Stroke Pose Dataset ;3D human pose estimates (Kinect) of stroke patients and healthy participants performing a set of tasks using a stroke rehabilitation robot. ;None. ;10 healthy person and 9 stroke survivors (3500-6000 frames per person) ;CSV ;Classification ;2017 ;pmid=29404226s2cid=24581930 ;E. Dolatabadi et al. 
Corpus of Social Touch (CoST) ;7805 gesture captures of 14 different social touch gestures performed by 31 subjects. The gestures were performed in three variations: gentle, normal and rough, on a pressure sensor grid wrapped around a mannequin arm. ;Touch gestures performed are segmented and labeled. ;7805 gesture captures  ;CSV ;Classification ;2016 ;issn=1783-8738publisher=University of Twente ;M. Jung et al. 
