Shell ;Usual environment ;Usually invoked ;Introduced ;Platform-independent ;Default login shell in ;Default script shell in ;License ;Source code availability ;User interface ;Mouse support ;Unicode support ;ISO 8601 support ;Console redirection ;Stream redirection ;Configurability ;Startup/shutdown scripts ;Batch scripts ;Logging ;available as statically linked, independent single file executable  
Thompson shell ;UNIX ;sh ;1971 ;N/A ;UNIX ;UNIX ;N/A ;yes ;Text-based CLI ;no ;no ;N/A ;yes ;N/A ;N/A ;N/A ;N/A ;N/A ;N/A 
Bourne shell 1977 version ;7th Ed. UNIX ;sh ;1977 ;YesA platform independent version based on the historical UNIX V7 original source code is available from Geoff Collyer ;7th Ed. UNIX ;7th Ed. UNIX, ;ProprietaryThe historic UNIX V7 version is available under a BSD-style license through the Unix Heritage Society and others. ;yes ;Text-based CLI ;no ;no ;N/A ;yes ;Yes (arbitrary fd) ;Yes (via variables and options) ;Yes (.profile) ;Yes (Unix feature) ;no ;yes  
Bourne shell current version ;Various UNIX ;sh ;1977 ;YesA platform independent version based on the SVr4/Solaris source code is available from Jörg Schilling ;SunOS-5.x, FreeBSD (non-root user)access-date=2015-07-24 ;SunOS-5.x ;CDDLdate=April 2015 ;yes ;Text-based CLI ;no ;yesSince mid 1990s.date=April 2015 ;N/A ;yes ;Yes (arbitrary fd) ;Yes (via variables and options) ;Yes (.profile) ;Yes (Unix feature) ;yesif compiled with -DACCT. ;yes 
POSIX shelldate=2008 ;POSIX ;sh ;1992As part of IEEE Std.1003.2-1992 (POSIX.2), integrated into IEEE Std.1003.1 with the 2001 revision. ;N/A ;N/A ;POSIX ;N/A ;N/A ;Text-based CLI ;no ;Yes, if used by configured locale ;N/A ;yes ;Yes (arbitrary fds) ;Yes (via variables and options) ;Unspecified (.profile given as an example) ;Yes (Unix feature) ;yes ;N/A  
bash (v4) ;POSIX ;bash, sh ;1989{{Cite newsgroup ;title=Bash is in beta release! ;author-first=Brian ;author-last=Fox ;editor-first=Leonard H. ;editor-last=Tower Jr. ;date=1989-06-07 ;newsgroup=gnu.announce ;message-id=8906080235.AA01983@wheat-chex.ai.mit.edu ;url= ;access-date=2010-10-28}} ;yes ;GNU, Linux (default for root), macOS 10.3–10.14 ;GNU, Linux, Haiku, macOS 10.3–10.14 ;GPL ;yes ;Text-based CLI ;no ;yesaccess-date=2015-04-30, "Bash now supports the \u and \U Unicode escape."date=May 2015 ;Yes (printf builtin) ;yes ;Yes (arbitrary fds) ;Yes (via variables and options) ;Yes (/etc/profile, .bash_profile, .bash_login, .profile, .bashrc) ;Yes (Unix feature) ;yes ;yes  
csh ;POSIX ;csh ;1978 ;yes ;SunOS ;dunno ;BSD ;yes ;Text-based CLI ;no ;no ;dunno ;yes ;Yes (stdin, stdout, stdout+stderr) ;Yes (via variables and options) ;Yes (~/.cshrc, ~/.login, ~/.logout) ;Yes (Unix feature) ;yes ;yes  
tcsh ;POSIX ;tcsh, csh ;1983{{Cite newsgroup ;author-first=Ken ;author-last=Greer ;title=C shell with command and filename recognition/completion ;date=1983-10-03 ;newsgroup=net.sources ;url= ;access-date=2010-12-29}} ;yes ;FreeBSD (default for root), formerly Mac OS X ;dunno ;BSD ;yes ;Text-based CLI ;no ;yes ;dunno ;yes ;Yes (stdin, stdout, stdout+stderr) ;Yes (via variables and options) ;Yes (/etc/csh.cshrc, /etc/csh.login, ~/.tcshrc, ~/.cshrc, ~/.history, ~/.login, ~/.cshdirs) ;Yes (Unix feature) ;yes ;yes  
Hamilton C shell ;Win32, OS/2 ;csh ;1988{{cite journal ;author-last=Sussman ;author-first=Ann ;title=Hamilton C Shell Speeds Development Of OS/2 Applications ;journal=PC Week ;date=1988-12-26 ;issue=1988-12-26 - 1989-01-02 ;page=37 ;url= ;access-date=2010-11-22}} ;yes (OS/2 version no longer maintained) ;optional ;optional ;proprietary ;no ;Text-based CLI ;no ;no ;Yes (-t timestamp operator) ;yes ;Yes (stdin, stdout, stdout+stderr) ;Yes (via variables and options) ;Yes (via login.csh, startup.csh and logout.csh) ;Yes (command line option) ;yes ;yes  
Scsh ;POSIX ;scsh ;1994 ;yes ;dunno ;dunno ;BSD-style ;yes ;dunno ;dunno ;dunno ;dunno ;dunno ;yes ;dunno ;dunno ;dunno ;dunno ;yes  
ksh (ksh93t+) ;POSIX ;ksh ;1983{{Cite newsgroup ;author-first=Ron ;author-last=Gomes ;title=Toronto USENIX Conference Schedule (tentative) ;date=1983-06-09 ;newsgroup=net.usenix ;url= ;access-date=2010-12-29}} {{Cite newsgroup ;author-first=Guy ;author-last=Harris ;title=csh question ;date=1983-10-10 ;newsgroup=net.flame ;url= ;access-date=2010-12-29}} ;yes ;AIX, HP-UX ;OpenSolaris ;Common Public License ;yes ;Text-based CLI ;no ;yes ;Yes (printf builtin with %(%F)Tksh93(1) man page) ;yes ;Yes (arbitrary fds) ;Yes (via variables and options) ;Yes (system and user's profile and kshrc) ;Yes (Unix feature) ;yes ;yes  
