 Tank ; Country ; Year introduced ; Production total ; Crew ; Armament number of rounds ; Armour thickness  (front/side/top) ; Weight(tonne) ; Engine ; power/weight ratio ; Speed (km/h) ; Range        
  Mark I Male ; UK ; 1916 ; 75  ; 8 ; 2×6 pounder (57mm/L40) [324], 3×MG [6,272] ; 12/10/6mm ; 28.4t ; Petrol 105hp (78kW) ; 3.7hp/t ; 4.5km/h ; 37km   
  Female ; UK ; 1916 ; 75  ; 8 ; 5×MG [30,080] ; 12/10/6mm ; 27.4t   ; Petrol 105hp (78kW) ; 3.7hp/t ; 4.5km/h ; 37km   
 Mark IV Male ; UK ; 1917 ; 420  ; 8 ; 2×57mm/L23 [332], 3×MG [6,272] ; 14/12/8mm ; 28.5t ; 125hp (93kW) ;  ; 5.6km/h ; 56km   
  Female ; UK ; 1917 ; 595  ; 8 ; 5×MG [10,000] ; 14/12/8mm ; 27t   ; 125hp (93kW) ;  ; 5.6km/h ; 56km   
 Mark V Male ; UK ; 1918 ; 200  ; 8 ; 2×57mm/L23 [207], 4×MG [5,800] ; 14/14/8mm ; 29.5t ; 150hp (112kW) ; 5.1hp/t ; 7.5km/h ; 72km   
  Female ; UK ; 1918 ; 200  ; 8 ; 6×.303 MG [14,100] ; 14/14/8mm ; 28.5t   ; 150hp (112kW) ; 5.1hp/t ; 7.5km/h ; 72km   
 Mark V* Male ; UK ; 1918 ; 200  ; 8+24 infantry ; 2×57mm/L23 [221], 8×MG [8,400] ; 14/12/6mm ; 33t ; 150hp (112kW) ; 5.1hp/t ; 4km/h ; 63km   
 Female ; UK ; 1918 ; 432  ; 8+24 infantry ; 10×MG [16,800] ; 14/12/6mm ; 32t   ; 150hp (112kW) ; 5.1hp/t ; 4km/h ; 63km   
 Medium Mark A Whippet ; UK ; 1918 ; 200  ; 3-4 ; 4×.303 MG [5,400] ; 14/14/5mm ; 14t ; Petrol 2×45hp (34kW) ; 6.4hp/t ; 13km/h ; 64km   
 Schneider CA1 	 ; France 	 ; 1917 	 ; 400  	 ; 6 	 ; 75mm/L13 [94–96], 2× 7.92mm MG [3,840] 	 ; 11.5/11.5/5.5mm 	 ; 13.5t 	 ; 60hp (45kW) 	 ;  ; 8km/h 	 ; 48km   
 Schneider CA1 	 ; France 	 ; 1917  	 ; 400  	 ; 6 	 ; 75mm/L13 [94–96], 2× 7.92mm MG [3,840] 	 ; 24/17/5.5mm 	 ; 14.6t 	 ; 60hp (45kW) 	 ;  ; 8km/h 	 ; 75km   
 Saint-Chamond 	 ; France 	 ; 1917 	 ; 165  	 ; 8 	 ; 75mm/? [106–108], 4× 7.92mm MG [7,488] 	 ; 11.5/8.5/5.5mm 	 ; 22t 	 ; 90hp (67kW) 	 ; 4.1hp/t 	 ; 12km/h 	 ; 60km   
 Saint-Chamond 	 ; France 	 ; 1917 	 ; 235  	 ; 8 	 ; 75mm/L36 [106–108], 4× 7.92mm MG [7,488] 	 ; 19.5/17/5.5mm 	 ; 24t   ; 90hp (67kW) 	 ; 4.1hp/t 	 ; 12km/h 	 ; 60km   
 Renault FT  mitrailleuse 	 ; France 	 ; 1918 	 ; 3,694The U.S. made 950 M1917s (a near copy of the FT design), but only 64 were finished before the end of the war, and none saw combat. ; 2 	 ; 7.92mm MG [4,800] 	 ; 16/8/6mm 	 ; 6.5t 	 ; 35hp (26kW) 	 ; 10.7hp/t 	 ; 20km/h 	 ; 60km   
 Renault FT  canon 	 ; France 	 ; 1918 	 ; 3,694The U.S. made 950 M1917s (a near copy of the FT design), but only 64 were finished before the end of the war, and none saw combat. ; 2 	 ; 37mm/L20 [240] 	 ; 16/8/6mm 	 ; 6.7t   ; 35hp (26kW) 	 ; 10.7hp/t 	 ; 20km/h 	 ; 60km   
 A7V  There was, briefly, one A7V with two extra machine guns in place of the 57 mm cannon. It was later converted to use the 57mm cannon. ; Germany 	 ; 1918 	 ; 20  	 ; 18 	 ; 57mm/L26 [180], 6×MG [10,000–15,000] ; 30/20/10mm  ; 32t 	 ; 2×100hp (75kW) 	 ; 6.25hp/t 	 ; 15km/h 	 ; 80km  
