 Name ; FM radio ; Microphone ; Line-in recording ; DVR recording ; Playback while charging ; USB host ; HDMI out 
 Archos 105 ; no ; no ; no ; no ; unk ; ; 
 Archos 405 ; no ; no ; no ; yes ; unk ; ; 
 Archos 5 ; yes2 With FM remote ; yes2 With FM remote ; yes2 With dock ; yes2 With DVR dock ; yes2 With dock ; ; 
 Archos 605 WiFi / GPS ; no ; no ; no ; yes ; yes ; ; 
 Archos 705 WiFi ; no ; no ; no ; yes ; unk ; ; 
 Cowon A3 ; yes ; yes ; yes ; no ; unk ; yes ; 
 Cowon D2 ; yes ; yes ; yes ; no ; yes ; ; 
 Cowon Q5W ; yes ; yes ; no ; no ; unk ; ; 
 Gigabeat T-Series ; no ; no ; yes ; no ; unk ; ; 
 GP2X F-200 ; no ; no ; no ; no ; unk ; ; 
 iPod ; yes2 Nano generations 5 & 6 only ; yes ; no ; no ; yes ; ; yes2 iPod Touch only 
 iriver clix 2G ; yes ; yes ; yes2NoLine-in recording is possible with the line-in jack on the optional cradle. ; no ; unk ; ; 
 PSP 1000 Series ; no ; no ; no ; no ; yes ; ; 
 PSP Slim & Lite 2000 Series ; no ; yes2Accessory only ; no ; no ; yes ; ; 
 PSP Slim & Lite 3000 Series ; no ; yes ; no ; no ; yes ; ; 
 Samsung Galaxy Player ; yes ; yes ; no ; no ; yes ; no ; yes2 Korean version only 
 Samsung T10 ; yes ; yes ; no ; no ; yes2Power only, no dataWhen the device is connected to a computer with a USB cable, the data lines put the device in a file sync mode where playback cannot occur.  However, with adapters such as car chargers where there is no data connection, playback while charging is possible. ; ; 
 Samsung P2 ; yes ; yes ; no ; no ; yes2Power only, no data ; ; 
 Sansa Fuze ; yes ; yes ; no ; no ; yes2Power only, no data ; ; 
 Sansa Fuze+ ; with pause and record ; yes ; no ; no ; yes2Power only, no data ; ; 
 Sansa View ; yes ; yes ; no ; no ; yes2Power only, no data ; ; 
 Walkman NWZ-A810 series ; no ; no ; no ; no ; yes ; ; 
 ZEN ; yes ; yes ; no ; no ; yes ; ; 
 ZEN Vision W ; yes ; yes ; no ; no ; yes2Power only, no data ; ; 
 Zune ; yes HD Radio ; no ; no ; no ; yes ; ; yes, Zune HD 
 Zvue 260 ; no ; no ; no ; no ; no ; ; 
