Shell ;Secure (password) prompt ;Encrypted variables/ parameters ;File/directory passwords ;Execute permission ;Untrusted script blocking ;Restricted shell subset ;Safe data subset  
Bourne shell ;via sttyThe shell can use the stty utility to suppress echoing of typed characters to the screen. This requires multiple steps: 1. reading the current echo state, 2. switching echo off, 3. reading the input, 4. switching echo state back to the original state. ;no ;? ;N/AThe execute permission is enforced by a separate program, the program loader, by refusing to invoke the interpreter (possibly a shell) specified by the script's hashbang. The interpreter does not enforce the execute permission if invoked directly as the program loader would, with the file as an argument, this only requires read permission, as does piping the file as input to the interpreter, in which case the interpreter cannot see the execute permission. ;no ;yes ;no  
POSIX shell ;via stty ;no ;? ;N/A ;no ;no ;no  
bash (v4.0) ;read -s ;no ;? ;N/A ;no ;yes ;no  
csh ;via stty ;no ;? ;N/A ;no ;yes ;no  
tcsh ;via stty ;no ;? ;N/A ;no ;yes ;no  
Hamilton C shell ;no ;no ;no ;no ;no ;no ;no  
Scsh ;via stty ;no ;? ;N/A ;no ;no ;no  
ksh (ksh93t+) ;via stty ;no ;? ;N/A ;no ;yes ;no  
pdksh ;via stty ;no ;? ;N/A ;no ;yes ;no  
zsh ;read -s ;no ;? ;N/A ;no ;yes ;no  
ash ;via stty ;no ;? ;N/A ;no ;yes ;no  
CCP ;no ;no ;no ;no ;no ;no ;no  
COMMAND.COM ;partial (only under DR-DOS, prompts for password if file/directory is protected) ;no ;partial (onlyunderDR-DOSvia \dirname,dirpwd\filename,filepwd syntax)Under DR-DOS the password separator for file and directory passwords is a semicolon. This is also supported under 4DOS for as long as the command does not support include lists. Under 4DOS, the password separator must be doubled for all commands supporting include lists in order to distinguish passwords from include lists. Commands not supporting include lists accept both forms. DR-DOS 7.02 and higher optionally accept a doubled semicolon as well, so that doubled semicolons work under both COMMAND.COM and 4DOS regardless of the command executed. ;partial (only under DR-DOS, if files are password-protected for read and/or execute permission)DR-DOS supports file passwords for read/write/delete and optionally execute permissions. Files are not protected by default, but the system can be set up so that f.e. batch scripts require a password to read. ;no ;no ;no  
OS/2 CMD.EXE ;no ;no ;no ;no ;no ;no ;no  
Windows CMD.EXE ;no ;no ;no ;no ;no ;no ;no  
4DOS ;yes (via INPUT /P or INKEY /P)INPUT /P and INKEY /P echoes back asterisks for each typed character. ;no ;partial (onlyunderDR-DOSvia \dirname,,dirpwd\filename,,filepwd syntax) ;partial (only under DR-DOS, if files are password-protected for read and/or execute permission) ;no ;no ;no  
4OS2 ;? ;no ;no ;no ;no ;no ;no  
TCC (formerly 4NT) ;yes (via INPUT /P, INKEY /P or QUERYBOX /P) ;no ;no ;no ;no ;no ;no  
PowerShell ;yesRead-Host -AsSecureString reads a string of characters from the input device into an encrypted string, one character at a time thus ensuring that there is no memory image of the clear text which could be gleaned from scanning memory, or from crash dumps, memory dumps, paging files, log files or similar. ;yes ;no ;noPowerShell script files (.ps1 files) are by default associated with the Notepad editor, not with the PowerShell execution engine. Invoking a .ps1 file will launch Notepad rather than executing the script. ;yes ;yesStartup scripts per computer/user can import modules and expose a subset the commands/functions available in the modules. ;yes  
rc ;via stty ;no ;? ;N/A ;no ;yes ;no  
BeanShell ;? ;? ;? ;? ;? ;? ;?  
VMS DCL ;yes ;no ;no ;yes ;no ;yes ;no  
fish ;read -s ;no ;? ;N/A ;no ; Yes (via fish -l) ;?  
