 Implementation ; secp160k1(15) ; secp160r1(16) ; secp160r2(17) ; secp192k1(18) ; secp192r1prime192v1NIST P-192(19) ; secp224k1(20) ; secp224r1NIST P-244(21) ; secp256k1(22) ; secp256r1prime256v1NIST P-256(23) ; secp384r1NIST P-384(24) ; secp521r1NIST P-521(25) ; arbitrary prime curves(0xFF01)Negotiation of arbitrary curves has been shown to be insecure for certain curve sizes {{cite book|author=Mavrogiannopoulos, Nikos and Vercautern, Frederik and Velichkov, Vesselin and Preneel, Bart|title=A cross-protocol attack on the TLS protocol. Proceedings of the 2012 ACM conference on Computer and communications security|year=2012|isbn=978-1-4503-1651-4|url= ; arbitrary char2 curves(0xFF02) 
 Botan ; No ; No ; No ; No ; No ; No ; No ; No ; yes ; yes ; yes ; No ; No 
 BoringSSL ; No ; No ; No ; No ; No ; No ; Yes ; No ; yes ; yes ; Yes (disabled by default) ; No ; No 
 GnuTLS ; No ; No ; No ; No ; Yes ; No ; Yes ; No ; yes ; yes ; yes ; No ; No 
 JSSE ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; yes ; yes ; yes ; yes ; No ; No 
 LibreSSL ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; yes ; yes ; yes ; yes ; No ; No 
 MatrixSSL ; No ; No ; No ; No ; Yes ; No ; Yes ; No ; yes ; yes ; yes ; No ; No 
 Mbed TLS ; No ; No ; No ; Yes ; Yes ; Yes ; Yes ; yes ; yes ; yes ; yes ; No ; No 
 NSS ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; yes ; yes ; yes ; yes ; No ; No 
 OpenSSL ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; yes ; yes ; yes ; yes ; No ; No 
 RSA BSAFE ; No ; No ; No ; No ; Yes ; No ; Yes ; No ; yes ; yes ; yes ; No ; No 
 SChannel Vista/2008, 7/2008R2, 8/2012, 8.1/2012R2, 10 ; No ; No ; No ; No ; No ; No ; No ; No ; yes ; yes ; yes ; No ; No 
 Secure Transport ; No ; No ; No ; No ; Yes ; No ; No ; No ; yes ; yes ; yes ; No ; No 
 wolfSSL ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; yes ; yes ; yes ; yes ; No ; No 
 Erlang/OTP SSL application ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; yes ; yes ; yes ; yes ; No ; No  
 Implementation ; secp160k1(15) ; secp160r1(16) ; secp160r2(17) ; secp192k1(18) ; secp192r1prime192v1NIST P-192(19) ; secp224k1(20) ; secp224r1NIST P-244(21) ; secp256k1(22) ; secp256r1prime256v1NIST P-256(23) ; secp384r1NIST P-384(24) ; secp521r1NIST P-521(25) ; arbitrary prime curves(0xFF01) ; arbitrary char2 curves(0xFF02)  
