Dataset Name ; Brief description ; Preprocessing ; Instances ; Format ; Default Task ; Created (updated) ; Reference ;Creator 
Aerial Image Segmentation Dataset ;80 high-resolution aerial images with spatial resolution ranging from 0.3 to 1.0. ;Images manually segmented. ;80 ;Images ;Aerial Classification, object detection ;2013 ; s2cid = 629629 Vatsavai, Ranga Raju. "Object based image classification: state of the art and computational challenges." Proceedings of the 2nd ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data. ACM, 2013. ;J. Yuan et al. 
KIT AIS Data Set ;Multiple labeled training and evaluation datasets of aerial images of crowds. ;Images manually labeled to show paths of individuals through crowds. ;~ 150 ;Images with paths ;People tracking, aerial tracking ;2012 ;Butenuth, Matthias, et al. "Integrating pedestrian simulation, tracking and event detection for crowd analysis." Computer Vision Workshops (ICCV Workshops), 2011 IEEE International Conference on. IEEE, 2011.Fradi, Hajer, and Jean-Luc Dugelay. "Low level crowd analysis using frame-wise normalized feature for people counting." Information Forensics and Security (WIFS), 2012 IEEE International Workshop on. IEEE, 2012. ;M. Butenuth et al. 
Wilt Dataset ;Remote sensing data of diseased trees and other land cover. ;Various features extracted. ;4899 ;Images ;Classification, aerial object detection ;2014 ;Johnson, Brian Alan, Ryutaro Tateishi, and Nguyen Thanh Hoan. "A hybrid pansharpening approach and multiscale object-based image analysis for mapping diseased pine and oak trees." International journal of remote sensing34.20 (2013): 6969–6982.Mohd Pozi, Muhammad Syafiq, et al. "A new classification model for a class imbalanced data set using genetic programming and support vector machines: case study for wilt disease classification." Remote Sensing Letters6.7 (2015): 568–577. ;B. Johnson 
MASATI dataset ;Maritime scenes of optical aerial images from the visible spectrum. It contains color images in dynamic marine environments, each image may contain one or multiple targets in different weather and illumination conditions.  ;Object bounding boxes and labeling.  ;7389 ;Images ;Classification, aerial object detection ;2018 ;Gallego, A.-J., Pertusa, A., Gil, P. "Automatic Ship Classification from Optical Aerial Images with Convolutional Neural Networks." Remote Sensing. 2018, 10(4):511.Gallego, A.-J., Pertusa, A., Gil, P. "MAritime SATellite Imagery dataset" [Online]. Available: , 2018. ;A.-J. Gallego et al. 
Forest Type Mapping Dataset ;Satellite imagery of forests in Japan. ;Image wavelength bands extracted. ;326 ;Text ;Classification ;2015 ; s2cid = 122543681 Chatterjee, Sankhadeep, et al. "Forest Type Classification: A Hybrid NN-GA Model Based Approach." Information Systems Design and Intelligent Applications. Springer India, 2016. 227-236. ;B. Johnson 
Overhead Imagery Research Data Set ;Annotated overhead imagery. Images with multiple objects. ;Over 30 annotations and over 60 statistics that describe the target within the context of the image. ;1000 ;Images, text ;Classification ;2009 ;Diegert, Carl. "A combinatorial method for tracing objects using semantics of their shape." Applied Imagery Pattern Recognition Workshop (AIPR), 2010 IEEE 39th. IEEE, 2010.Razakarivony, Sebastien, and Frédéric Jurie. "Small target detection combining foreground and background manifolds." IAPR International Conference on Machine Vision Applications. 2013. ;F. Tanner et al. 
SpaceNet ;SpaceNet is a corpus of commercial satellite imagery and labeled training data. ;GeoTiff and GeoJSON files containing building footprints. ;>17533 ;Images ;Classification, Object Identification ;2017 ;{{Cite web|url=s2cid=8297433 ;DigitalGlobe, Inc. 
UC Merced Land Use Dataset ;These images were manually extracted from large images from the USGS National Map Urban Area Imagery collection for various urban areas around the US. ;This is a 21 class land use image dataset meant for research purposes. There are 100 images for each  class. ;2,100 ;Image chips of 256x256, 30cm (1 foot) GSD ;Land cover classification ;2010 ;isbn=9781450304283 ;Yi Yang and Shawn Newsam 
SAT-4 Airborne Dataset ;Images were extracted from the National Agriculture Imagery Program (NAIP) dataset. ;SAT-4 has four broad land cover classes, includes barren land, trees, grassland and a class that consists of all land cover classes other than the above three.    ;500,000 ;Images ;Classification ;2015 ;s2cid=4387134issn=2150-704X ;S. Basu et al. 
SAT-6 Airborne Dataset ;Images were extracted from the National Agriculture Imagery Program (NAIP) dataset. ;SAT-6 has six broad land cover classes, includes barren land, trees, grassland, roads, buildings and water bodies. ;405,000 ;Images ;Classification ;2015 ; ;S. Basu et al. 
